condition,calibration,object,n,n_pos,n_neg,threshold_at_spec95,sensitivity_at_that_point,specificity_achieved,lr_plus,lr_plus_lo,lr_plus_hi,n_boot_evaluable,lr_minus_at_spec95,lr_minus_at_sens95,threshold_at_sens95,acmg_tier,benign_tier_at_sens95,cal_method
y_assay/BRCA1_excluded,raw,single:gpn_msa,1168,594,574,0.6603651145018051,0.6515151515151515,0.9512195121951219,13.356060606060606,12.440869565217392,15.992959812261661,2000,0.3663558663558664,0.0819402603028335,0.32718406593406596,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:gpn_msa,1168,594,574,0.8723404255319149,0.5303030303030303,0.9616724738675958,13.836088154269973,11.409468438538205,19.3825124161947,2000,0.4884167764602548,0.09079610421892303,0.14285714285714285,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,raw,single:nt,1168,594,574,0.7484701145415431,0.4663299663299663,0.9512195121951219,9.55976430976431,7.373541116070064,11.60685337726524,2000,0.5610377277043944,0.18558654982496067,0.1561173614745043,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:nt,1168,594,574,0.8275862068965517,0.38047138047138046,0.9564459930313589,8.735622895622894,7.8086419753086425,18.229294085421923,2000,0.6477403052995039,0.22648358585858638,0.15702479338842976,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,raw,single:cadd,1075,554,521,0.5921895364392236,0.7743682310469314,0.9500959692898272,15.517148014440433,13.694819881158702,17.93914521971714,2000,0.23748313459504794,0.07490176032714613,0.3543000993621039,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:cadd,1075,554,521,0.6666666666666666,0.7707581227436823,0.9500959692898272,15.444806998056096,13.322958880423624,26.14864864864865,2000,0.24128286474856878,0.07018158305943203,0.17543859649122806,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,raw,single:alphamissense,1,0,1,,,,,,,0,,,,not evaluable,not evaluable,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:alphamissense,0,0,0,,,,,,,0,,,,not evaluable,not evaluable,isotonic
y_assay/BRCA1_excluded,raw,single:gnomad_af,407,162,245,0.9600220567962504,0.07407407407407407,0.9510204081632653,1.5123456790123457,0.7963849016480596,2.9927007299270074,1969,0.9736130980766174,0.39028275587415384,0.09008363201911586,below supporting,Supporting,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:gnomad_af,407,162,245,0.6046511627906976,0.05555555555555555,0.9551020408163265,1.2373737373737375,0.863681592039801,2.3055555555555554,1724,0.9888414055080721,0.6481481481481489,0.23076923076923078,below supporting,below supporting,isotonic
