set,scheme,model,Brier,ECE,actionable_frac,actionable_acc
y_clinvar/BRCA1_included,decile_truncated,single:nt,0.16784968229992636,0.08309588025125936,0.3135492665430473,0.9246485283080472
y_clinvar/BRCA1_included,decile_truncated,single:cadd,0.03838415689996798,0.02555643376124979,0.899180545695197,0.9870223218896925
y_clinvar/BRCA1_included,decile_truncated,single:alphamissense,,,,
y_clinvar/BRCA1_included,decile_truncated,single:gnomad_af,0.24355373221937865,0.13896080028866487,0.024757776659432296,0.5498436862826623
y_clinvar/BRCA1_included,decile_truncated,single:phylop,0.05381317368015885,0.026955100749810175,0.7977579062671706,0.9790932714283452
y_clinvar/BRCA1_included,decile_truncated,single:phastcons,0.08244322181871137,0.041357909736332604,0.8039296520234549,0.9551912968963446
y_clinvar/BRCA1_excluded,unweighted,fusion_M1,0.009419478195570324,0.010462158668493305,0.9877216916780355,0.9917127071823204
y_clinvar/BRCA1_excluded,unweighted,mean_M0b,0.014039168051744016,0.014436716362288927,0.956343792633015,0.9900142653352354
y_clinvar/BRCA1_excluded,unweighted,single:spliceai,0.04709993862966061,0.05614296482738389,0.8717598908594816,0.9687010954616588
y_clinvar/BRCA1_excluded,unweighted,single:pangolin,0.028062661887937844,0.02361160327473053,0.9290586630286494,0.9897209985315712
y_clinvar/BRCA1_excluded,unweighted,single:alphagenome,0.04011128676892086,0.04271924808266121,0.8908594815825375,0.9816232771822359
y_clinvar/BRCA1_excluded,unweighted,single:gpn_msa,0.06705992239613302,0.0357343432929796,0.7653478854024557,0.9732620320855615
y_clinvar/BRCA1_excluded,unweighted,single:nt,0.15192153997045327,0.08071454933337176,0.42155525238744884,0.9093851132686084
y_clinvar/BRCA1_excluded,unweighted,single:cadd,0.029554109692669698,0.028062461723491656,0.9155555555555556,0.9902912621359223
y_clinvar/BRCA1_excluded,unweighted,single:alphamissense,,,,
y_clinvar/BRCA1_excluded,unweighted,single:gnomad_af,0.2509493744841335,0.19249009171276235,0.021367521367521368,0.4
y_clinvar/BRCA1_excluded,unweighted,single:phylop,0.05099253389891548,0.043851760210326385,0.8049113233287858,0.9830508474576272
y_clinvar/BRCA1_excluded,unweighted,single:phastcons,0.07463080780040969,0.03698280246245195,0.7899045020463847,0.9516407599309153
y_clinvar/BRCA1_excluded,quintile,fusion_M1,0.009662011568686566,0.010714021603802052,0.986804875456731,0.9915626874393213
y_clinvar/BRCA1_excluded,quintile,mean_M0b,0.014521570843303742,0.014666053308289408,0.9554011677062857,0.9896389870800282
y_clinvar/BRCA1_excluded,quintile,single:spliceai,0.047966934967921225,0.05816604618255308,0.8616653472149529,0.9686505049622847
y_clinvar/BRCA1_excluded,quintile,single:pangolin,0.02925007143491034,0.025006338864276646,0.9304052553203979,0.9892639220885366
y_clinvar/BRCA1_excluded,quintile,single:alphagenome,0.04271125769352784,0.043159603046429865,0.8913227830842052,0.9792897415499792
y_clinvar/BRCA1_excluded,quintile,single:gpn_msa,0.06702244778097095,0.03864133984616178,0.752798877160628,0.9731600638766785
y_clinvar/BRCA1_excluded,quintile,single:nt,0.15189083280743923,0.07592033489784082,0.4085409030742891,0.9008949083513846
y_clinvar/BRCA1_excluded,quintile,single:cadd,0.029845405231287966,0.029471050924396617,0.9136902425055675,0.9903613563453755
y_clinvar/BRCA1_excluded,quintile,single:alphamissense,,,,
y_clinvar/BRCA1_excluded,quintile,single:gnomad_af,0.2438218432634327,0.1799134345676848,0.022451072496599004,0.39846736946826516
y_clinvar/BRCA1_excluded,quintile,single:phylop,0.050861963374513354,0.0427635525563284,0.7954428625957155,0.9827010665704505
y_clinvar/BRCA1_excluded,quintile,single:phastcons,0.07822945528506692,0.03698862707645443,0.7808797406647138,0.9490609125807852
y_clinvar/BRCA1_excluded,decile,fusion_M1,0.009295306472608162,0.010298113638097656,0.9869913621844782,0.9919279333422482
y_clinvar/BRCA1_excluded,decile,mean_M0b,0.014182657294876427,0.014283248186481464,0.9566587520208091,0.9898722185355449
y_clinvar/BRCA1_excluded,decile,single:spliceai,0.04750421092606929,0.05746543360874161,0.862217935261799,0.9693843006252588
y_clinvar/BRCA1_excluded,decile,single:pangolin,0.02902672925718692,0.02469917349148342,0.9318714851118718,0.9891430266459511
y_clinvar/BRCA1_excluded,decile,single:alphagenome,0.04272427735681209,0.043367316242356964,0.891841126248446,0.9790914515428795
y_clinvar/BRCA1_excluded,decile,single:gpn_msa,0.06698050485424148,0.03874235229664206,0.7540069759726369,0.972667391196165
y_clinvar/BRCA1_excluded,decile,single:nt,0.15119184611557837,0.07500209430738933,0.4094335018525213,0.9028766946660637
y_clinvar/BRCA1_excluded,decile,single:cadd,0.02965748762159226,0.029320795194775616,0.914105254725719,0.990524784548553
y_clinvar/BRCA1_excluded,decile,single:alphamissense,,,,
y_clinvar/BRCA1_excluded,decile,single:gnomad_af,0.24348268263998807,0.17861441135082137,0.022461748433656347,0.39417770210279135
y_clinvar/BRCA1_excluded,decile,single:phylop,0.05049999128931135,0.04231734916516862,0.7969428161321868,0.9825737048835621
y_clinvar/BRCA1_excluded,decile,single:phastcons,0.0782721513185087,0.036774492354380114,0.7825723748711485,0.9490469854001268
y_clinvar/BRCA1_excluded,vigintile,fusion_M1,0.009474893470141486,0.010523368272444218,0.9866016689253225,0.9917450123731567
y_clinvar/BRCA1_excluded,vigintile,mean_M0b,0.014663343119486347,0.014811226831965046,0.9570808829721885,0.9893886612226191
y_clinvar/BRCA1_excluded,vigintile,single:spliceai,0.04761072785758298,0.05768666173673353,0.8616114132696081,0.9692331765210989
y_clinvar/BRCA1_excluded,vigintile,single:pangolin,0.029521605473060784,0.025332611829604508,0.932174583251305,0.988634483994021
y_clinvar/BRCA1_excluded,vigintile,single:alphagenome,0.043284193055865894,0.04382080675552075,0.8925668886626553,0.9784790599479714
y_clinvar/BRCA1_excluded,vigintile,single:gpn_msa,0.0672918000631401,0.03906809211643442,0.7527496503680592,0.972481255780339
y_clinvar/BRCA1_excluded,vigintile,single:nt,0.15128917591041635,0.07534818310863851,0.4095129740126414,0.9029436755346335
y_clinvar/BRCA1_excluded,vigintile,single:cadd,0.029752120817632385,0.029596843869979867,0.9139169636409725,0.9903745651173231
y_clinvar/BRCA1_excluded,vigintile,single:alphamissense,,,,
y_clinvar/BRCA1_excluded,vigintile,single:gnomad_af,0.24368324603355024,0.17709155398634938,0.022631139117903435,0.4033654063001843
y_clinvar/BRCA1_excluded,vigintile,single:phylop,0.05092725227066073,0.042600271560272324,0.7976584982855686,0.9817344220852308
