n_training_genes,held_out_gene,training_genes,n_test,brier
4,BRCA2,PALB2+BRCA1+BARD1+BAP1,268,0.06283402490022005
4,BRCA2,PALB2+BRCA1+VHL+BAP1,268,0.06274901837118958
4,BRCA2,PALB2+RAD51C+BARD1+VHL,268,0.0564243809453139
4,BRCA2,PALB2+RAD51C+BARD1+BAP1,268,0.06055742079754058
4,BRCA2,PALB2+RAD51C+VHL+BAP1,268,0.05921747926649681
4,BRCA2,PALB2+BARD1+VHL+BAP1,268,0.06060903999201514
4,BRCA2,BRCA1+RAD51C+BARD1+VHL,268,0.05967835172540532
4,BRCA2,BRCA1+RAD51C+BARD1+BAP1,268,0.06498803748275588
4,BRCA2,BRCA1+RAD51C+VHL+BAP1,268,0.06650793272623569
4,BRCA2,BRCA1+BARD1+VHL+BAP1,268,0.06651598551308015
4,BRCA2,RAD51C+BARD1+VHL+BAP1,268,0.06350673035524536
4,PALB2,BRCA2+BRCA1+RAD51C+BARD1,215,0.06866792675024741
4,PALB2,BRCA2+BRCA1+RAD51C+VHL,215,0.06414467910663679
4,PALB2,BRCA2+BRCA1+RAD51C+BAP1,215,0.07078777575543191
4,PALB2,BRCA2+BRCA1+BARD1+VHL,215,0.07064256352107201
4,PALB2,BRCA2+BRCA1+BARD1+BAP1,215,0.07212652717972975
4,PALB2,BRCA2+BRCA1+VHL+BAP1,215,0.07092654028971553
4,PALB2,BRCA2+RAD51C+BARD1+VHL,215,0.06865114847328298
4,PALB2,BRCA2+RAD51C+BARD1+BAP1,215,0.06822678880147393
4,PALB2,BRCA2+RAD51C+VHL+BAP1,215,0.06722179129638817
4,PALB2,BRCA2+BARD1+VHL+BAP1,215,0.0680516921150269
4,PALB2,BRCA1+RAD51C+BARD1+VHL,215,0.07376255254323726
4,PALB2,BRCA1+RAD51C+BARD1+BAP1,215,0.0757383716742008
4,PALB2,BRCA1+RAD51C+VHL+BAP1,215,0.07337762761766856
4,PALB2,BRCA1+BARD1+VHL+BAP1,215,0.07970863747465254
4,PALB2,RAD51C+BARD1+VHL+BAP1,215,0.07282589826562892
4,BRCA1,BRCA2+PALB2+RAD51C+BARD1,507,0.05549776847297412
4,BRCA1,BRCA2+PALB2+RAD51C+VHL,507,0.06094582884021297
4,BRCA1,BRCA2+PALB2+RAD51C+BAP1,507,0.055355031884812625
4,BRCA1,BRCA2+PALB2+BARD1+VHL,507,0.05469677625844075
4,BRCA1,BRCA2+PALB2+BARD1+BAP1,507,0.05169821416821248
4,BRCA1,BRCA2+PALB2+VHL+BAP1,507,0.05434936847373451
4,BRCA1,BRCA2+RAD51C+BARD1+VHL,507,0.058115276238628936
4,BRCA1,BRCA2+RAD51C+BARD1+BAP1,507,0.05591898660909019
4,BRCA1,BRCA2+RAD51C+VHL+BAP1,507,0.05531563197126042
4,BRCA1,BRCA2+BARD1+VHL+BAP1,507,0.05287291471327774
4,BRCA1,PALB2+RAD51C+BARD1+VHL,507,0.056973555612689054
4,BRCA1,PALB2+RAD51C+BARD1+BAP1,507,0.05530857230712266
4,BRCA1,PALB2+RAD51C+VHL+BAP1,507,0.05561057356776387
4,BRCA1,PALB2+BARD1+VHL+BAP1,507,0.05247978653802323
4,BRCA1,RAD51C+BARD1+VHL+BAP1,507,0.055142474482248405
4,RAD51C,BRCA2+PALB2+BRCA1+BARD1,168,0.05439464551288742
4,RAD51C,BRCA2+PALB2+BRCA1+VHL,168,0.05064233223673793
4,RAD51C,BRCA2+PALB2+BRCA1+BAP1,168,0.05453086074068497
4,RAD51C,BRCA2+PALB2+BARD1+VHL,168,0.052513463502337814
4,RAD51C,BRCA2+PALB2+BARD1+BAP1,168,0.05543500058766269
4,RAD51C,BRCA2+PALB2+VHL+BAP1,168,0.05151730917001879
4,RAD51C,BRCA2+BRCA1+BARD1+VHL,168,0.05372108005096471
4,RAD51C,BRCA2+BRCA1+BARD1+BAP1,168,0.05632388441295907
4,RAD51C,BRCA2+BRCA1+VHL+BAP1,168,0.054015894789339866
4,RAD51C,BRCA2+BARD1+VHL+BAP1,168,0.05613605639768321
4,RAD51C,PALB2+BRCA1+BARD1+VHL,168,0.056392254481356395
4,RAD51C,PALB2+BRCA1+BARD1+BAP1,168,0.05752843123882277
4,RAD51C,PALB2+BRCA1+VHL+BAP1,168,0.055048812834632824
4,RAD51C,PALB2+BARD1+VHL+BAP1,168,0.05846674441871406
4,RAD51C,BRCA1+BARD1+VHL+BAP1,168,0.0578057972146005
4,BARD1,BRCA2+PALB2+BRCA1+RAD51C,197,0.058382455043221065
4,BARD1,BRCA2+PALB2+BRCA1+VHL,197,0.0596058486226024
4,BARD1,BRCA2+PALB2+BRCA1+BAP1,197,0.05268666918276598
4,BARD1,BRCA2+PALB2+RAD51C+VHL,197,0.05866823923021421
4,BARD1,BRCA2+PALB2+RAD51C+BAP1,197,0.056051876047273075
4,BARD1,BRCA2+PALB2+VHL+BAP1,197,0.052481266841111575
4,BARD1,BRCA2+BRCA1+RAD51C+VHL,197,0.056143435661612145
4,BARD1,BRCA2+BRCA1+RAD51C+BAP1,197,0.05223848616764992
4,BARD1,BRCA2+BRCA1+VHL+BAP1,197,0.054491801175646865
4,BARD1,BRCA2+RAD51C+VHL+BAP1,197,0.05523341380570279
4,BARD1,PALB2+BRCA1+RAD51C+VHL,197,0.05935268074093628
4,BARD1,PALB2+BRCA1+RAD51C+BAP1,197,0.05432645752649435
4,BARD1,PALB2+BRCA1+VHL+BAP1,197,0.05357294472690688
4,BARD1,PALB2+RAD51C+VHL+BAP1,197,0.05224775003182239
4,BARD1,BRCA1+RAD51C+VHL+BAP1,197,0.054148491483793665
4,VHL,BRCA2+PALB2+BRCA1+RAD51C,53,0.01604364180391501
4,VHL,BRCA2+PALB2+BRCA1+BARD1,53,0.01561959593778238
4,VHL,BRCA2+PALB2+BRCA1+BAP1,53,0.0143731655324852
4,VHL,BRCA2+PALB2+RAD51C+BARD1,53,0.017113041100226354
4,VHL,BRCA2+PALB2+RAD51C+BAP1,53,0.015543475481184852
4,VHL,BRCA2+PALB2+BARD1+BAP1,53,0.01634698262336958
4,VHL,BRCA2+BRCA1+RAD51C+BARD1,53,0.015823035046452577
4,VHL,BRCA2+BRCA1+RAD51C+BAP1,53,0.017234706115607592
4,VHL,BRCA2+BRCA1+BARD1+BAP1,53,0.01700653696539492
4,VHL,BRCA2+RAD51C+BARD1+BAP1,53,0.01787204136182517
4,VHL,PALB2+BRCA1+RAD51C+BARD1,53,0.015000473727661801
4,VHL,PALB2+BRCA1+RAD51C+BAP1,53,0.016475778060270535
4,VHL,PALB2+BRCA1+BARD1+BAP1,53,0.01597746681591479
4,VHL,PALB2+RAD51C+BARD1+BAP1,53,0.019420214870953353
4,VHL,BRCA1+RAD51C+BARD1+BAP1,53,0.020371667717769777
4,BAP1,BRCA2+PALB2+BRCA1+RAD51C,267,0.10522189171062506
4,BAP1,BRCA2+PALB2+BRCA1+BARD1,267,0.10061439903424235
4,BAP1,BRCA2+PALB2+BRCA1+VHL,267,0.10433690161884583
4,BAP1,BRCA2+PALB2+RAD51C+BARD1,267,0.10544166828283387
4,BAP1,BRCA2+PALB2+RAD51C+VHL,267,0.11094652418025823
4,BAP1,BRCA2+PALB2+BARD1+VHL,267,0.10321056092498705
4,BAP1,BRCA2+BRCA1+RAD51C+BARD1,267,0.10100698356007025
4,BAP1,BRCA2+BRCA1+RAD51C+VHL,267,0.1034148740407513
4,BAP1,BRCA2+BRCA1+BARD1+VHL,267,0.09758984590897565
4,BAP1,BRCA2+RAD51C+BARD1+VHL,267,0.10492032715897917
4,BAP1,PALB2+BRCA1+RAD51C+BARD1,267,0.10012189295110245
4,BAP1,PALB2+BRCA1+RAD51C+VHL,267,0.10211715404169616
4,BAP1,PALB2+BRCA1+BARD1+VHL,267,0.0995918889160277
4,BAP1,PALB2+RAD51C+BARD1+VHL,267,0.10706642484585376
4,BAP1,BRCA1+RAD51C+BARD1+VHL,267,0.1001474920582764
3,BRCA2,PALB2+BRCA1+RAD51C,268,0.060321525179695516
3,BRCA2,PALB2+BRCA1+BARD1,268,0.059614214747239894
3,BRCA2,PALB2+BRCA1+VHL,268,0.062072202824148985
3,BRCA2,PALB2+BRCA1+BAP1,268,0.06360211273619647
3,BRCA2,PALB2+RAD51C+BARD1,268,0.057264435760706556
3,BRCA2,PALB2+RAD51C+VHL,268,0.05602464059090435
3,BRCA2,PALB2+RAD51C+BAP1,268,0.060228017901472856
3,BRCA2,PALB2+BARD1+VHL,268,0.05847166094145515
3,BRCA2,PALB2+BARD1+BAP1,268,0.06156131436164467
3,BRCA2,PALB2+VHL+BAP1,268,0.06384337578810445
3,BRCA2,BRCA1+RAD51C+BARD1,268,0.06068611631930413
3,BRCA2,BRCA1+RAD51C+VHL,268,0.06259660017112446
3,BRCA2,BRCA1+RAD51C+BAP1,268,0.0665553959850717
3,BRCA2,BRCA1+BARD1+VHL,268,0.06527745272671906
3,BRCA2,BRCA1+BARD1+BAP1,268,0.06886016346810116
3,BRCA2,BRCA1+VHL+BAP1,268,0.07103981655106968
3,BRCA2,RAD51C+BARD1+VHL,268,0.056754837234927843
3,BRCA2,RAD51C+BARD1+BAP1,268,0.06742048524534394
3,BRCA2,RAD51C+VHL+BAP1,268,0.06599757379689015
3,BRCA2,BARD1+VHL+BAP1,268,0.06939853096896482
3,PALB2,BRCA2+BRCA1+RAD51C,215,0.06503105371415932
3,PALB2,BRCA2+BRCA1+BARD1,215,0.07009170517699276
3,PALB2,BRCA2+BRCA1+VHL,215,0.0681501980658981
3,PALB2,BRCA2+BRCA1+BAP1,215,0.0732272320629249
3,PALB2,BRCA2+RAD51C+BARD1,215,0.07123400994016704
3,PALB2,BRCA2+RAD51C+VHL,215,0.06916912026998145
3,PALB2,BRCA2+RAD51C+BAP1,215,0.06766590511478243
3,PALB2,BRCA2+BARD1+VHL,215,0.06874131255091881
3,PALB2,BRCA2+BARD1+BAP1,215,0.06913507528540536
3,PALB2,BRCA2+VHL+BAP1,215,0.07143843587539953
3,PALB2,BRCA1+RAD51C+BARD1,215,0.0702496637977472
3,PALB2,BRCA1+RAD51C+VHL,215,0.06542266867360136
3,PALB2,BRCA1+RAD51C+BAP1,215,0.07358739522210267
3,PALB2,BRCA1+BARD1+VHL,215,0.0787344186684582
3,PALB2,BRCA1+BARD1+BAP1,215,0.08007241185675312
3,PALB2,BRCA1+VHL+BAP1,215,0.07692192776527922
3,PALB2,RAD51C+BARD1+VHL,215,0.06491639670092868
3,PALB2,RAD51C+BARD1+BAP1,215,0.0747007189422423
3,PALB2,RAD51C+VHL+BAP1,215,0.08007192529226254
3,PALB2,BARD1+VHL+BAP1,215,0.08409795834977345
3,BRCA1,BRCA2+PALB2+RAD51C,507,0.06053106572757208
3,BRCA1,BRCA2+PALB2+BARD1,507,0.05687259271170416
3,BRCA1,BRCA2+PALB2+VHL,507,0.0620854932946223
3,BRCA1,BRCA2+PALB2+BAP1,507,0.05408483742286338
3,BRCA1,BRCA2+RAD51C+BARD1,507,0.05686537369339587
3,BRCA1,BRCA2+RAD51C+VHL,507,0.0627193390745374
3,BRCA1,BRCA2+RAD51C+BAP1,507,0.05602465859483048
3,BRCA1,BRCA2+BARD1+VHL,507,0.05655530143765189
3,BRCA1,BRCA2+BARD1+BAP1,507,0.051811947187439554
3,BRCA1,BRCA2+VHL+BAP1,507,0.056257235133795366
3,BRCA1,PALB2+RAD51C+BARD1,507,0.057175187732406964
3,BRCA1,PALB2+RAD51C+VHL,507,0.06279365391934671
3,BRCA1,PALB2+RAD51C+BAP1,507,0.05500471278902745
3,BRCA1,PALB2+BARD1+VHL,507,0.0538865265406231
3,BRCA1,PALB2+BARD1+BAP1,507,0.05185163871478019
3,BRCA1,PALB2+VHL+BAP1,507,0.054199146162805446
3,BRCA1,RAD51C+BARD1+VHL,507,0.05962413769609743
3,BRCA1,RAD51C+BARD1+BAP1,507,0.05658234341706712
3,BRCA1,RAD51C+VHL+BAP1,507,0.055850311577226176
3,BRCA1,BARD1+VHL+BAP1,507,0.05473955180560113
3,RAD51C,BRCA2+PALB2+BRCA1,168,0.05045427256641531
3,RAD51C,BRCA2+PALB2+BARD1,168,0.049859686699808795
3,RAD51C,BRCA2+PALB2+VHL,168,0.048827463109199526
3,RAD51C,BRCA2+PALB2+BAP1,168,0.05157402575569837
3,RAD51C,BRCA2+BRCA1+BARD1,168,0.05405920300775796
3,RAD51C,BRCA2+BRCA1+VHL,168,0.053756313464367184
3,RAD51C,BRCA2+BRCA1+BAP1,168,0.054419899055395474
3,RAD51C,BRCA2+BARD1+VHL,168,0.056799752221812154
3,RAD51C,BRCA2+BARD1+BAP1,168,0.056972437278566476
3,RAD51C,BRCA2+VHL+BAP1,168,0.053371677545358445
3,RAD51C,PALB2+BRCA1+BARD1,168,0.052980314447799035
3,RAD51C,PALB2+BRCA1+VHL,168,0.05397771956324901
3,RAD51C,PALB2+BRCA1+BAP1,168,0.055995995091664676
3,RAD51C,PALB2+BARD1+VHL,168,0.05224323214747958
3,RAD51C,PALB2+BARD1+BAP1,168,0.058242631876288496
3,RAD51C,PALB2+VHL+BAP1,168,0.056485457482415444
3,RAD51C,BRCA1+BARD1+VHL,168,0.05641554339848219
3,RAD51C,BRCA1+BARD1+BAP1,168,0.05734665426356938
3,RAD51C,BRCA1+VHL+BAP1,168,0.06068866135123577
3,RAD51C,BARD1+VHL+BAP1,168,0.0622111172356682
3,BARD1,BRCA2+PALB2+BRCA1,197,0.05998952868955255
3,BARD1,BRCA2+PALB2+RAD51C,197,0.06392369205884812
3,BARD1,BRCA2+PALB2+VHL,197,0.06547022980250586
3,BARD1,BRCA2+PALB2+BAP1,197,0.05343292311348775
3,BARD1,BRCA2+BRCA1+RAD51C,197,0.056701686613994044
3,BARD1,BRCA2+BRCA1+VHL,197,0.05660394157867865
3,BARD1,BRCA2+BRCA1+BAP1,197,0.05408202660562536
3,BARD1,BRCA2+RAD51C+VHL,197,0.05828128566446715
3,BARD1,BRCA2+RAD51C+BAP1,197,0.052700504854877046
3,BARD1,BRCA2+VHL+BAP1,197,0.05179249957951885
3,BARD1,PALB2+BRCA1+RAD51C,197,0.057211416563267135
3,BARD1,PALB2+BRCA1+VHL,197,0.059456912720977695
3,BARD1,PALB2+BRCA1+BAP1,197,0.05372510404303144
3,BARD1,PALB2+RAD51C+VHL,197,0.0621626682439299
3,BARD1,PALB2+RAD51C+BAP1,197,0.05304281987734225
3,BARD1,PALB2+VHL+BAP1,197,0.056940483320427414
3,BARD1,BRCA1+RAD51C+VHL,197,0.05724429027205082
3,BARD1,BRCA1+RAD51C+BAP1,197,0.055085128311791666
3,BARD1,BRCA1+VHL+BAP1,197,0.054109332503841936
3,BARD1,RAD51C+VHL+BAP1,197,0.05337152525138779
3,VHL,BRCA2+PALB2+BRCA1,53,0.018180091901296
3,VHL,BRCA2+PALB2+RAD51C,53,0.015151708244293124
3,VHL,BRCA2+PALB2+BARD1,53,0.021110901132299142
3,VHL,BRCA2+PALB2+BAP1,53,0.01652987138406436
3,VHL,BRCA2+BRCA1+RAD51C,53,0.015514353132754918
3,VHL,BRCA2+BRCA1+BARD1,53,0.01669562754448972
3,VHL,BRCA2+BRCA1+BAP1,53,0.02006903095679082
3,VHL,BRCA2+RAD51C+BARD1,53,0.020196369655069418
3,VHL,BRCA2+RAD51C+BAP1,53,0.019685884499830664
3,VHL,BRCA2+BARD1+BAP1,53,0.01598699660665058
3,VHL,PALB2+BRCA1+RAD51C,53,0.019243776892089202
3,VHL,PALB2+BRCA1+BARD1,53,0.015579244943279488
3,VHL,PALB2+BRCA1+BAP1,53,0.015429198552495872
3,VHL,PALB2+RAD51C+BARD1,53,0.019594769514729053
3,VHL,PALB2+RAD51C+BAP1,53,0.018029578697564178
3,VHL,PALB2+BARD1+BAP1,53,0.01576257006548985
3,VHL,BRCA1+RAD51C+BARD1,53,0.01811278370301211
3,VHL,BRCA1+RAD51C+BAP1,53,0.019651206661281548
3,VHL,BRCA1+BARD1+BAP1,53,0.020702884649918898
3,VHL,RAD51C+BARD1+BAP1,53,0.019596622505395744
3,BAP1,BRCA2+PALB2+BRCA1,267,0.10313482871029932
3,BAP1,BRCA2+PALB2+RAD51C,267,0.11175262541368336
3,BAP1,BRCA2+PALB2+BARD1,267,0.10627522812262626
3,BAP1,BRCA2+PALB2+VHL,267,0.11154588095649393
3,BAP1,BRCA2+BRCA1+RAD51C,267,0.10288375273809763
3,BAP1,BRCA2+BRCA1+BARD1,267,0.09718817372843683
3,BAP1,BRCA2+BRCA1+VHL,267,0.10251481983671427
3,BAP1,BRCA2+RAD51C+BARD1,267,0.1066771731781944
3,BAP1,BRCA2+RAD51C+VHL,267,0.1089767509084308
3,BAP1,BRCA2+BARD1+VHL,267,0.10460987051371333
3,BAP1,PALB2+BRCA1+RAD51C,267,0.10611225415780332
3,BAP1,PALB2+BRCA1+BARD1,267,0.1010917247360427
3,BAP1,PALB2+BRCA1+VHL,267,0.10311384084454792
3,BAP1,PALB2+RAD51C+BARD1,267,0.10535516723865647
3,BAP1,PALB2+RAD51C+VHL,267,0.11113419620888448
3,BAP1,PALB2+BARD1+VHL,267,0.10559917906822347
3,BAP1,BRCA1+RAD51C+BARD1,267,0.1020362810808703
3,BAP1,BRCA1+RAD51C+VHL,267,0.10247389142153475
3,BAP1,BRCA1+BARD1+VHL,267,0.09928700915608588
3,BAP1,RAD51C+BARD1+VHL,267,0.1053475783573903
