tool,stratum,clinvar_arm,n,positive_rate,k_genes,n_pos,n_neg,auroc,auroc_lo,auroc_hi,auroc_i2_pct,auprc_median,rho_median,status,reason,e3_best_tier_pp3,e3_threshold_at_best_tier,e3_logo_heldout_lr_median
cadd,all_1_50,recorded_unclassified,1203,0.2543640897755611,6,300.0,886.0,0.8110299403926473,0.7692598952407498,0.8467449342080128,25.988818901625017,0.6959376304300475,0.4870497881697388,ok,,,,
cadd,all_1_50,unrecorded,5361,0.13001305726543555,6,697.0,4664.0,0.8380602450360535,0.7924454710912769,0.8752285742222979,72.97671040686595,0.6384906175910239,0.4261819771429409,ok,,,,
phylop,pm12,all,841,0.9560047562425684,2,298.0,28.0,0.749506693481435,0.6624214984384074,0.8202234510473395,0.0,0.9646389370819269,0.24385603990847848,ok,,,,
phylop,pm12,classified,480,0.9770833333333333,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
phylop,pm12,recorded_unclassified,95,0.9052631578947369,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
phylop,pm12,unrecorded,266,0.9360902255639098,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
phylop,s3_10,all,3075,0.18536585365853658,7,570.0,2505.0,0.7557403700107513,0.730443714911843,0.7793800725472605,0.0,0.4911221043389787,0.3287791967778955,ok,,,,
phylop,s3_10,classified,673,0.1411589895988113,5,93.0,457.0,0.8404375427637735,0.7471430664024613,0.9037445882502623,43.74359240387211,0.7448667325434124,0.4657942940138413,ok,,,,
phylop,s3_10,recorded_unclassified,797,0.2521957340025094,6,196.0,585.0,0.6966799603469647,0.637184685147945,0.7502431845716908,30.165478090483393,0.4298789070801953,0.2871715310415828,ok,,,,
phylop,s3_10,unrecorded,1605,0.1707165109034268,5,269.0,1303.0,0.7248950480116119,0.6680419494477221,0.7752864451543577,50.02994078066231,0.4840380630711709,0.32613746952547273,ok,,,,
phylop,s11_50,all,4537,0.049592241569318934,5,222.0,3970.0,0.6415819952157541,0.5391608586367419,0.7325324201685804,73.66024264418482,0.17702024629399882,0.14704698872911381,ok,,,,
phylop,s11_50,classified,736,0.043478260869565216,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
phylop,s11_50,recorded_unclassified,311,0.06109324758842444,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
phylop,s11_50,unrecorded,3490,0.0498567335243553,4,165.0,3267.0,0.6672597617209072,0.5570857480885678,0.7617488629013094,67.33236433103991,0.15371838099206991,0.16293603687198308,ok,,,,
phylop,all_1_50,all,8453,0.18916361055246658,7,1599.0,6854.0,0.8717460184006509,0.8443901811706443,0.8948913938183389,76.8643236271753,0.769188920539976,0.529936020382209,ok,,,,
phylop,all_1_50,classified,1889,0.31551085230280573,7,596.0,1293.0,0.938574463339234,0.9054089287813367,0.960617300245722,69.45494180486378,0.9290633425364724,0.6879130666782782,ok,,,,
phylop,all_1_50,recorded_unclassified,1203,0.2543640897755611,6,300.0,886.0,0.7634469275419479,0.697111143948307,0.819026096683208,63.82727445125765,0.6270459304233147,0.3988041647054409,ok,,,,
phylop,all_1_50,unrecorded,5361,0.13001305726543555,6,697.0,4664.0,0.8229525217536635,0.8001361687807205,0.8436730664780498,10.757567677639662,0.6209328959371265,0.4139842227124201,ok,,,,
phastcons,pm12,all,841,0.9560047562425684,2,298.0,28.0,0.48514509789290944,0.3746687586648872,0.5970924840334264,0.0,0.910118846127134,-0.050940541989777696,ok,,,,
phastcons,pm12,classified,480,0.9770833333333333,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
phastcons,pm12,recorded_unclassified,95,0.9052631578947369,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
phastcons,pm12,unrecorded,266,0.9360902255639098,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
phastcons,s3_10,all,3075,0.18536585365853658,7,570.0,2505.0,0.749275829623103,0.7154920200952536,0.7802799262573433,37.36397492258285,0.4009869740288299,0.34375741897828593,ok,,,,
phastcons,s3_10,classified,673,0.1411589895988113,5,93.0,457.0,0.8430374131035596,0.739015227398012,0.9106136933026819,52.88579931549844,0.5066558441558441,0.4667625014511264,ok,,,,
phastcons,s3_10,recorded_unclassified,797,0.2521957340025094,6,196.0,585.0,0.704704726366904,0.6569525543196967,0.7483559549007783,0.0,0.427296322016663,0.29584306249712605,ok,,,,
phastcons,s3_10,unrecorded,1605,0.1707165109034268,5,269.0,1303.0,0.7042766431232492,0.6425123449579488,0.7593663076377665,56.18371282603103,0.3071664659125752,0.3033584592222459,ok,,,,
phastcons,s11_50,all,4537,0.049592241569318934,5,222.0,3970.0,0.5986955130853424,0.4888928813075902,0.6994123636969019,77.15800110023389,0.09043275856777762,0.10339688944204066,ok,,,,
phastcons,s11_50,classified,736,0.043478260869565216,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
phastcons,s11_50,recorded_unclassified,311,0.06109324758842444,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
phastcons,s11_50,unrecorded,3490,0.0498567335243553,4,165.0,3267.0,0.585099119852646,0.4550692438222473,0.7042653038879847,78.45997284254254,0.07904204324743452,0.11485443681509039,ok,,,,
phastcons,all_1_50,all,8453,0.18916361055246658,7,1599.0,6854.0,0.8639858413127913,0.8291679616135172,0.8926263136953817,84.84780039805364,0.6267425310729171,0.5220328308337552,ok,,,,
phastcons,all_1_50,classified,1889,0.31551085230280573,7,596.0,1293.0,0.9291384411975185,0.885857337712056,0.9568082075707166,79.2138814473504,0.8729259642962571,0.7236758035826922,ok,,,,
phastcons,all_1_50,recorded_unclassified,1203,0.2543640897755611,6,300.0,886.0,0.7429268934511611,0.6633830285339825,0.809083727386243,73.09146006372852,0.5351549491132951,0.41644339316008777,ok,,,,
phastcons,all_1_50,unrecorded,5361,0.13001305726543555,6,697.0,4664.0,0.805717450600188,0.7828018286462629,0.8267504370193721,8.231302379443193,0.47112182644583184,0.41093573993130994,ok,,,,
gpn_msa,pm12,all,841,0.9560047562425684,2,298.0,28.0,0.7706157260054016,0.6873147114000567,0.8369881908100899,0.0,0.9717187517060277,0.26766412719295873,ok,,,,
gpn_msa,pm12,classified,480,0.9770833333333333,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
gpn_msa,pm12,recorded_unclassified,95,0.9052631578947369,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
gpn_msa,pm12,unrecorded,266,0.9360902255639098,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
gpn_msa,s3_10,all,3075,0.18536585365853658,7,570.0,2505.0,0.7940804440087502,0.7698798588105088,0.8163431041767022,0.0,0.501827898021854,0.37955812810071,ok,,,,
