tool,stratum,threshold_basis,threshold,gene_set,clinvar_arm,n_genes,n_pos,n_neg,n_in_band,status,sens,spec,band_lr
pangolin,s3_10,fitted moderate,0.5108555555343628,no_BRCA1,unrecorded,6,274,1331,198,ok,0.5328467153284672,0.9609316303531179,13.638826501965188
pangolin,s11_50,fitted moderate,0.4146675169467926,all_genes,all,6,225,4312,87,ok,0.26222222222222225,0.9935064935064936,40.382222222222225
pangolin,s11_50,fitted moderate,0.4146675169467926,all_genes,classified,6,32,704,4,ok,0.125,1.0,
pangolin,s11_50,fitted moderate,0.4146675169467926,all_genes,recorded_unclassified,5,19,292,19,ok,0.5789473684210527,0.9726027397260274,21.131578947368425
pangolin,s11_50,fitted moderate,0.4146675169467926,all_genes,unrecorded,5,174,3316,64,ok,0.25287356321839083,0.9939686369119421,41.9264367816092
pangolin,s11_50,fitted moderate,0.4146675169467926,no_BRCA1,all,5,222,3970,82,ok,0.25675675675675674,0.9937027707808564,40.77297297297297
pangolin,s11_50,fitted moderate,0.4146675169467926,no_BRCA1,classified,5,32,608,4,ok,0.125,1.0,
pangolin,s11_50,fitted moderate,0.4146675169467926,no_BRCA1,recorded_unclassified,4,16,46,14,ok,0.5625,0.8913043478260869,5.175
pangolin,s11_50,fitted moderate,0.4146675169467926,no_BRCA1,unrecorded,5,174,3316,64,ok,0.25287356321839083,0.9939686369119421,41.9264367816092
pangolin,s3_50,fitted moderate,0.4146675169467926,all_genes,all,7,795,6817,599,ok,0.5635220125786163,0.9778494939122782,25.44059311091674
pangolin,s3_50,fitted moderate,0.4146675169467926,all_genes,classified,7,127,1282,82,ok,0.5984251968503937,0.9953198127925117,127.86351706036746
pangolin,s3_50,fitted moderate,0.4146675169467926,all_genes,recorded_unclassified,7,220,888,211,ok,0.7318181818181818,0.9436936936936937,12.99709090909091
pangolin,s3_50,fitted moderate,0.4146675169467926,all_genes,unrecorded,6,448,4647,306,ok,0.47098214285714285,0.9795567032494082,23.038463345864663
pangolin,s3_50,fitted moderate,0.4146675169467926,no_BRCA1,all,6,688,6089,484,ok,0.5116279069767442,0.9783215634751191,23.60077519379845
pangolin,s3_50,fitted moderate,0.4146675169467926,no_BRCA1,classified,6,86,1084,41,ok,0.4186046511627907,0.9953874538745388,90.75348837209303
pangolin,s3_50,fitted moderate,0.4146675169467926,no_BRCA1,recorded_unclassified,6,154,358,137,ok,0.6818181818181818,0.9106145251396648,7.627840909090908
pangolin,s3_50,fitted moderate,0.4146675169467926,no_BRCA1,unrecorded,6,448,4647,306,ok,0.47098214285714285,0.9795567032494082,23.038463345864663
alphagenome,s3_10,fitted moderate,2.1995164155960083,all_genes,all,7,570,2505,407,ok,0.5912280701754385,0.9720558882235529,21.15751879699248
alphagenome,s3_10,fitted moderate,2.1995164155960083,all_genes,classified,7,95,578,74,ok,0.7052631578947368,0.9878892733564014,58.23458646616541
alphagenome,s3_10,fitted moderate,2.1995164155960083,all_genes,recorded_unclassified,7,201,596,158,ok,0.6716417910447762,0.9614093959731543,17.404282933160285
alphagenome,s3_10,fitted moderate,2.1995164155960083,all_genes,unrecorded,6,274,1331,175,ok,0.4927007299270073,0.9699474079639369,16.39461678832117
alphagenome,s3_10,fitted moderate,2.1995164155960083,no_BRCA1,all,6,466,2119,314,ok,0.5429184549356223,0.9712128362435111,18.859741082107927
alphagenome,s3_10,fitted moderate,2.1995164155960083,no_BRCA1,classified,6,54,476,35,ok,0.5555555555555556,0.9894957983193278,52.888888888888886
alphagenome,s3_10,fitted moderate,2.1995164155960083,no_BRCA1,recorded_unclassified,6,138,312,104,ok,0.6376811594202898,0.9487179487179487,12.434782608695652
alphagenome,s3_10,fitted moderate,2.1995164155960083,no_BRCA1,unrecorded,6,274,1331,175,ok,0.4927007299270073,0.9699474079639369,16.39461678832117
alphagenome,s11_50,fitted moderate,2.1989681839942934,all_genes,all,6,225,4312,117,ok,0.3111111111111111,0.989100185528757,28.54278959810875
alphagenome,s11_50,fitted moderate,2.1989681839942934,all_genes,classified,6,32,704,6,ok,0.125,0.9971590909090909,
alphagenome,s11_50,fitted moderate,2.1989681839942934,all_genes,recorded_unclassified,5,19,292,20,ok,0.631578947368421,0.9726027397260274,23.05263157894737
alphagenome,s11_50,fitted moderate,2.1989681839942934,all_genes,unrecorded,5,174,3316,91,ok,0.3103448275862069,0.9888419782870929,27.813606710158435
alphagenome,s11_50,fitted moderate,2.1989681839942934,no_BRCA1,all,5,222,3970,114,ok,0.3063063063063063,0.9884130982367758,26.43556600078339
alphagenome,s11_50,fitted moderate,2.1989681839942934,no_BRCA1,classified,5,32,608,6,ok,0.125,0.9967105263157895,
alphagenome,s11_50,fitted moderate,2.1989681839942934,no_BRCA1,recorded_unclassified,4,16,46,17,ok,0.625,0.8478260869565217,4.107142857142857
alphagenome,s11_50,fitted moderate,2.1989681839942934,no_BRCA1,unrecorded,5,174,3316,91,ok,0.3103448275862069,0.9888419782870929,27.813606710158435
alphagenome,s3_50,fitted moderate,2.199358892440796,all_genes,all,7,795,6817,543,ok,0.5345911949685535,0.9826903329910518,30.883967594073127
alphagenome,s3_50,fitted moderate,2.199358892440796,all_genes,classified,7,127,1282,80,ok,0.5748031496062992,0.9945397815912637,105.2710911136108
alphagenome,s3_50,fitted moderate,2.199358892440796,all_genes,recorded_unclassified,7,220,888,190,ok,0.6954545454545454,0.9583333333333334,16.69090909090909
alphagenome,s3_50,fitted moderate,2.199358892440796,all_genes,unrecorded,6,448,4647,273,ok,0.44419642857142855,0.9840757477942759,27.894335183397686
alphagenome,s3_50,fitted moderate,2.199358892440796,no_BRCA1,all,6,688,6089,442,ok,0.4883720930232558,0.9825915585482017,28.053751645458533
