tool,stratum,tier,path_cut_lr,n_genes,k,training_genes,training_n_damaging,training_n_normal,seed_key,fit_status,threshold,tier_reached,heldout_gene,heldout_n_damaging,heldout_n_normal,heldout_n_in_band,heldout_n_damaging_in_band,heldout_n_normal_in_band,heldout_lr,evaluable,cleared_cut,not_evaluable_reason
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;VHL,156,651,subset,fitted,,False,BARD1,66,393,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;VHL,156,651,subset,fitted,,False,BRCA1,104,386,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;VHL,156,651,subset,fitted,,False,BRCA2,69,460,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;VHL,156,651,subset,fitted,,False,PALB2,87,324,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;VHL,156,651,subset,fitted,,False,RAD51C,88,291,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;BRCA1,170,779,subset,fitted,0.6469510793685913,True,BAP1,146,591,44,29,15,7.826027397260273,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;BRCA1,170,779,subset,fitted,0.6469510793685913,True,BRCA2,69,460,43,34,9,25.185185185185183,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;BRCA1,170,779,subset,fitted,0.6469510793685913,True,PALB2,87,324,38,31,7,16.492610837438423,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;BRCA1,170,779,subset,fitted,0.6469510793685913,True,RAD51C,88,291,62,49,13,12.464160839160838,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;BRCA1,170,779,subset,fitted,0.6469510793685913,True,VHL,10,60,6,6,0,,False,,fewer than 10 variants in the band
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;BRCA1,170,779,subset,fitted,0.7675776481628418,True,BAP1,146,591,24,18,6,12.143835616438356,True,False,
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;BRCA1,170,779,subset,fitted,0.7675776481628418,True,BRCA2,69,460,35,30,5,40.0,True,True,
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;BRCA1,170,779,subset,fitted,0.7675776481628418,True,PALB2,87,324,25,20,5,14.896551724137932,True,False,
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;BRCA1,170,779,subset,fitted,0.7675776481628418,True,RAD51C,88,291,45,40,5,26.454545454545453,True,True,
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;BRCA1,170,779,subset,fitted,0.7675776481628418,True,VHL,10,60,4,4,0,,False,,fewer than 10 variants in the band
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;BRCA2,135,853,subset,fitted,0.6311637163162231,True,BAP1,146,591,48,32,16,8.095890410958903,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;BRCA2,135,853,subset,fitted,0.6311637163162231,True,BRCA1,104,386,75,70,5,51.96153846153847,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;BRCA2,135,853,subset,fitted,0.6311637163162231,True,PALB2,87,324,38,31,7,16.492610837438423,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;BRCA2,135,853,subset,fitted,0.6311637163162231,True,RAD51C,88,291,66,51,15,11.243181818181819,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;BRCA2,135,853,subset,fitted,0.6311637163162231,True,VHL,10,60,7,7,0,,False,,fewer than 10 variants in the band
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;BRCA2,135,853,subset,fitted,0.7638255953788757,True,BAP1,146,591,24,18,6,12.143835616438356,True,False,
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;BRCA2,135,853,subset,fitted,0.7638255953788757,True,BRCA1,104,386,46,42,4,38.97115384615385,True,True,
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;BRCA2,135,853,subset,fitted,0.7638255953788757,True,PALB2,87,324,25,20,5,14.896551724137932,True,False,
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;BRCA2,135,853,subset,fitted,0.7638255953788757,True,RAD51C,88,291,45,40,5,26.454545454545453,True,True,
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;BRCA2,135,853,subset,fitted,0.7638255953788757,True,VHL,10,60,4,4,0,,False,,fewer than 10 variants in the band
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;PALB2,153,717,subset,fitted,0.6469601988792419,True,BAP1,146,591,44,29,15,7.826027397260273,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;PALB2,153,717,subset,fitted,0.6469601988792419,True,BRCA1,104,386,73,68,5,50.47692307692308,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;PALB2,153,717,subset,fitted,0.6469601988792419,True,BRCA2,69,460,43,34,9,25.185185185185183,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;PALB2,153,717,subset,fitted,0.6469601988792419,True,RAD51C,88,291,62,49,13,12.464160839160838,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;PALB2,153,717,subset,fitted,0.6469601988792419,True,VHL,10,60,6,6,0,,False,,fewer than 10 variants in the band
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;PALB2,153,717,subset,fitted,,False,BAP1,146,591,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;PALB2,153,717,subset,fitted,,False,BRCA1,104,386,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;PALB2,153,717,subset,fitted,,False,BRCA2,69,460,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;PALB2,153,717,subset,fitted,,False,RAD51C,88,291,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;PALB2,153,717,subset,fitted,,False,VHL,10,60,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;RAD51C,154,684,subset,fitted,0.6373701691627502,True,BAP1,146,591,45,30,15,8.095890410958903,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;RAD51C,154,684,subset,fitted,0.6373701691627502,True,BRCA1,104,386,74,69,5,51.21923076923077,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;RAD51C,154,684,subset,fitted,0.6373701691627502,True,BRCA2,69,460,43,34,9,25.185185185185183,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;RAD51C,154,684,subset,fitted,0.6373701691627502,True,PALB2,87,324,38,31,7,16.492610837438423,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;RAD51C,154,684,subset,fitted,0.6373701691627502,True,VHL,10,60,7,7,0,,False,,fewer than 10 variants in the band
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;RAD51C,154,684,subset,fitted,0.86900395154953,True,BAP1,146,591,17,13,4,13.155821917808218,True,False,
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;RAD51C,154,684,subset,fitted,0.86900395154953,True,BRCA1,104,386,23,22,1,81.65384615384615,True,True,
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;RAD51C,154,684,subset,fitted,0.86900395154953,True,BRCA2,69,460,20,17,3,37.77777777777778,True,True,
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;RAD51C,154,684,subset,fitted,0.86900395154953,True,PALB2,87,324,19,17,2,31.655172413793107,True,True,
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;RAD51C,154,684,subset,fitted,0.86900395154953,True,VHL,10,60,4,4,0,,False,,fewer than 10 variants in the band
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;VHL,76,453,subset,fitted,0.6189216375350952,True,BAP1,146,591,50,33,17,7.857775987107171,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;VHL,76,453,subset,fitted,0.6189216375350952,True,BRCA1,104,386,81,75,6,46.39423076923077,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;VHL,76,453,subset,fitted,0.6189216375350952,True,BRCA2,69,460,46,37,9,27.40740740740741,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;VHL,76,453,subset,fitted,0.6189216375350952,True,PALB2,87,324,38,31,7,16.492610837438423,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BARD1;VHL,76,453,subset,fitted,0.6189216375350952,True,RAD51C,88,291,68,53,15,11.68409090909091,True,True,
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;VHL,76,453,subset,fitted,,False,BAP1,146,591,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;VHL,76,453,subset,fitted,,False,BRCA1,104,386,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;VHL,76,453,subset,fitted,,False,BRCA2,69,460,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;VHL,76,453,subset,fitted,,False,PALB2,87,324,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BARD1;VHL,76,453,subset,fitted,,False,RAD51C,88,291,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;BRCA2,173,846,subset,fitted,0.518823504447937,True,BAP1,146,591,66,46,20,9.31027397260274,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;BRCA2,173,846,subset,fitted,0.518823504447937,True,BARD1,66,393,70,54,16,20.09659090909091,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;BRCA2,173,846,subset,fitted,0.518823504447937,True,PALB2,87,324,47,37,10,13.779310344827586,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;BRCA2,173,846,subset,fitted,0.518823504447937,True,RAD51C,88,291,76,59,17,11.476604278074866,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;BRCA2,173,846,subset,fitted,0.518823504447937,True,VHL,10,60,8,7,1,,False,,fewer than 10 variants in the band
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;BRCA2,173,846,subset,fitted,0.7065954208374023,True,BAP1,146,591,36,24,12,8.095890410958905,True,False,
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;BRCA2,173,846,subset,fitted,0.7065954208374023,True,BARD1,66,393,58,49,9,32.41919191919192,True,True,
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;BRCA2,173,846,subset,fitted,0.7065954208374023,True,PALB2,87,324,31,25,6,15.517241379310345,True,False,
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;BRCA2,173,846,subset,fitted,0.7065954208374023,True,RAD51C,88,291,54,44,10,14.549999999999999,True,False,
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;BRCA2,173,846,subset,fitted,0.7065954208374023,True,VHL,10,60,6,6,0,,False,,fewer than 10 variants in the band
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;PALB2,191,710,subset,fitted,0.4527207911014557,True,BAP1,146,591,76,52,24,8.770547945205479,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;PALB2,191,710,subset,fitted,0.4527207911014557,True,BARD1,66,393,85,57,28,12.121753246753247,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;PALB2,191,710,subset,fitted,0.4527207911014557,True,BRCA2,69,460,57,43,14,20.476190476190474,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;PALB2,191,710,subset,fitted,0.4527207911014557,True,RAD51C,88,291,85,66,19,11.486842105263158,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;PALB2,191,710,subset,fitted,0.4527207911014557,True,VHL,10,60,9,8,1,,False,,fewer than 10 variants in the band
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;PALB2,191,710,subset,fitted,,False,BAP1,146,591,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;PALB2,191,710,subset,fitted,,False,BARD1,66,393,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;PALB2,191,710,subset,fitted,,False,BRCA2,69,460,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;PALB2,191,710,subset,fitted,,False,RAD51C,88,291,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;PALB2,191,710,subset,fitted,,False,VHL,10,60,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;RAD51C,192,677,subset,fitted,0.540472149848938,True,BAP1,146,591,62,43,19,9.161139149242972,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;RAD51C,192,677,subset,fitted,0.540472149848938,True,BARD1,66,393,68,54,14,22.967532467532468,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;RAD51C,192,677,subset,fitted,0.540472149848938,True,BRCA2,69,460,52,41,11,24.848484848484848,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;RAD51C,192,677,subset,fitted,0.540472149848938,True,PALB2,87,324,46,37,9,15.310344827586206,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;RAD51C,192,677,subset,fitted,0.540472149848938,True,VHL,10,60,7,7,0,,False,,fewer than 10 variants in the band
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;RAD51C,192,677,subset,fitted,0.8721567392349243,True,BAP1,146,591,17,13,4,13.155821917808218,True,False,
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;RAD51C,192,677,subset,fitted,0.8721567392349243,True,BARD1,66,393,38,34,4,50.61363636363636,True,True,
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;RAD51C,192,677,subset,fitted,0.8721567392349243,True,BRCA2,69,460,20,17,3,37.77777777777778,True,True,
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;RAD51C,192,677,subset,fitted,0.8721567392349243,True,PALB2,87,324,19,17,2,31.655172413793107,True,True,
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;RAD51C,192,677,subset,fitted,0.8721567392349243,True,VHL,10,60,4,4,0,,False,,fewer than 10 variants in the band
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;VHL,114,446,subset,fitted,0.5450217127799988,True,BAP1,146,591,61,43,18,9.670091324200913,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;VHL,114,446,subset,fitted,0.5450217127799988,True,BARD1,66,393,68,54,14,22.967532467532468,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;VHL,114,446,subset,fitted,0.5450217127799988,True,BRCA2,69,460,52,41,11,24.848484848484848,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;VHL,114,446,subset,fitted,0.5450217127799988,True,PALB2,87,324,45,36,9,14.896551724137932,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA1;VHL,114,446,subset,fitted,0.5450217127799988,True,RAD51C,88,291,74,57,17,11.087566844919786,True,True,
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;VHL,114,446,subset,fitted,0.709936797618866,True,BAP1,146,591,35,24,11,8.831880448318804,True,False,
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;VHL,114,446,subset,fitted,0.709936797618866,True,BARD1,66,393,57,48,9,31.757575757575758,True,True,
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;VHL,114,446,subset,fitted,0.709936797618866,True,BRCA2,69,460,39,33,6,36.66666666666667,True,True,
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;VHL,114,446,subset,fitted,0.709936797618866,True,PALB2,87,324,31,25,6,15.517241379310345,True,False,
spliceai_walker,s3_10,strong,18.7,7,2,BRCA1;VHL,114,446,subset,fitted,0.709936797618866,True,RAD51C,88,291,54,44,10,14.549999999999999,True,False,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA2;PALB2,156,784,subset,fitted,0.47971296310424805,True,BAP1,146,591,72,49,23,8.623883263847528,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA2;PALB2,156,784,subset,fitted,0.47971296310424805,True,BARD1,66,393,78,56,22,15.15702479338843,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA2;PALB2,156,784,subset,fitted,0.47971296310424805,True,BRCA1,104,386,98,87,11,29.354895104895107,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA2;PALB2,156,784,subset,fitted,0.47971296310424805,True,RAD51C,88,291,80,61,19,10.616626794258373,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA2;PALB2,156,784,subset,fitted,0.47971296310424805,True,VHL,10,60,9,8,1,,False,,fewer than 10 variants in the band
spliceai_walker,s3_10,strong,18.7,7,2,BRCA2;PALB2,156,784,subset,fitted,,False,BAP1,146,591,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BRCA2;PALB2,156,784,subset,fitted,,False,BARD1,66,393,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BRCA2;PALB2,156,784,subset,fitted,,False,BRCA1,104,386,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BRCA2;PALB2,156,784,subset,fitted,,False,RAD51C,88,291,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BRCA2;PALB2,156,784,subset,fitted,,False,VHL,10,60,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA2;RAD51C,157,751,subset,fitted,0.5878103971481323,True,BAP1,146,591,55,38,17,9.048348106365834,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA2;RAD51C,157,751,subset,fitted,0.5878103971481323,True,BARD1,66,393,63,51,12,25.306818181818183,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BRCA2;RAD51C,157,751,subset,fitted,0.5878103971481323,True,BRCA1,104,386,86,79,7,41.88736263736264,True,True,
