gene,stratum,clinvar_arm,tool,n,n_pos,n_neg,status,auroc,auprc,walker_sens_pp3,walker_spec_pp3,walker_lr_pp3,walker_lr_bp4,walker_lr_bp4_for_tier
PALB2,s3_10,classified,nt,73,12,61,ok,0.44398907103825136,0.15006521990799587,0.3333333333333333,0.5409836065573771,0.7261904761904762,1.3555555555555554,1.3555555555555554
PALB2,s3_10,classified,spliceai_walker,73,12,61,ok,0.7882513661202186,0.5908563246086965,0.5833333333333334,0.9180327868852459,7.116666666666668,0.5187074829931972,0.5187074829931972
PALB2,s3_10,classified,avi,73,12,61,ok,0.7827868852459017,0.6929029453255076,0.5833333333333334,0.7213114754098361,2.093137254901961,0.3177083333333333,0.3177083333333333
PALB2,s3_10,classified,avi_splice_sites,73,12,61,ok,0.6837431693989071,0.6107234630474678,0.5833333333333334,0.9344262295081968,8.895833333333334,0.4538690476190476,0.4538690476190476
PALB2,s3_10,classified,avi_splice_site_usage,73,12,61,ok,0.7616120218579235,0.6867173320952926,0.5833333333333334,0.9508196721311475,11.861111111111112,0.479559748427673,0.479559748427673
PALB2,s3_10,classified,avi_splice_junctions,73,12,61,ok,0.7718579234972678,0.6636681377578016,0.8333333333333334,0.3770491803278688,1.337719298245614,,
PALB2,s3_10,recorded_unclassified,spliceai,77,23,54,ok,0.8405797101449275,0.7835671908061544,0.8695652173913043,0.6666666666666666,2.608695652173913,0.16770186335403728,0.16770186335403728
PALB2,s3_10,recorded_unclassified,pangolin,77,23,54,ok,0.8413848631239935,0.7669535935813336,0.7391304347826086,0.7037037037037037,2.494565217391304,0.1514726507713885,0.1514726507713885
PALB2,s3_10,recorded_unclassified,alphagenome,77,23,54,ok,0.8888888888888888,0.8593189789264294,1.0,0.0,1.0,,
PALB2,s3_10,recorded_unclassified,cadd,77,23,54,ok,0.7588566827697263,0.6128559188021764,1.0,0.037037037037037035,1.0384615384615385,,
PALB2,s3_10,recorded_unclassified,phylop,77,23,54,ok,0.6509661835748792,0.455600174851919,0.782608695652174,0.35185185185185186,1.2074534161490684,0.5869565217391305,0.5869565217391305
PALB2,s3_10,recorded_unclassified,phastcons,77,23,54,ok,0.6807568438003221,0.46327115854520307,0.7391304347826086,0.5,1.4782608695652173,0.4083175803402646,0.4083175803402646
PALB2,s3_10,recorded_unclassified,gpn_msa,77,23,54,ok,0.8200483091787439,0.6701989956856518,1.0,0.07407407407407407,1.08,,
PALB2,s3_10,recorded_unclassified,nt,77,23,54,ok,0.5322061191626409,0.4533356311279625,0.7391304347826086,0.2222222222222222,0.9503105590062111,1.4086956521739131,1.4086956521739131
PALB2,s3_10,recorded_unclassified,spliceai_walker,77,23,54,ok,0.8679549114331723,0.8128232633132676,0.9130434782608695,0.6666666666666666,2.739130434782609,0.18782608695652173,0.18782608695652173
PALB2,s3_10,recorded_unclassified,avi,77,23,54,ok,0.8687600644122383,0.8373340516201223,0.9565217391304348,0.3333333333333333,1.4347826086956523,0.23478260869565218,0.23478260869565218
PALB2,s3_10,recorded_unclassified,avi_splice_sites,77,23,54,ok,0.8393719806763285,0.8239020757791309,0.6956521739130435,0.9444444444444444,12.521739130434783,0.3521739130434783,0.3521739130434783
PALB2,s3_10,recorded_unclassified,avi_splice_site_usage,77,23,54,ok,0.8687600644122383,0.8502020536284417,0.7391304347826086,0.7962962962962963,3.6284584980237153,0.2608695652173913,0.2608695652173913
PALB2,s3_10,recorded_unclassified,avi_splice_junctions,77,23,54,ok,0.8711755233494364,0.8345948906499336,0.9565217391304348,0.16666666666666666,1.1478260869565218,,
PALB2,s3_10,unrecorded,spliceai,261,52,209,ok,0.8964850938535149,0.6879131498069061,0.75,0.84688995215311,4.8984375,0.07680058794708476,0.07680058794708476
PALB2,s3_10,unrecorded,pangolin,261,52,209,ok,0.9146117040853883,0.764653790683651,0.8076923076923077,0.8133971291866029,4.328402366863905,0.13578482328482328,0.13578482328482328
PALB2,s3_10,unrecorded,alphagenome,261,52,209,ok,0.9290577843209422,0.7966888582165459,1.0,0.0,1.0,,
PALB2,s3_10,unrecorded,cadd,261,52,209,ok,0.8175377254324623,0.5765799901391929,1.0,0.023923444976076555,1.0245098039215685,,
PALB2,s3_10,unrecorded,phylop,261,52,209,ok,0.735691939639308,0.4878687283209069,0.8846153846153846,0.3923444976076555,1.4557843731072078,0.22643553629469124,0.22643553629469124
PALB2,s3_10,unrecorded,phastcons,261,52,209,ok,0.6626334192123666,0.3071664659125752,0.6730769230769231,0.4784688995215311,1.2905786873676783,0.6116220735785952,0.6116220735785952
PALB2,s3_10,unrecorded,gpn_msa,261,52,209,ok,0.7195896209054103,0.44549344490552745,0.9807692307692307,0.03349282296650718,1.0147562833206396,,
PALB2,s3_10,unrecorded,nt,261,52,209,ok,0.6086676481413323,0.3441985133445886,0.7692307692307693,0.3062200956937799,1.1087533156498675,0.7051282051282052,0.7051282051282052
PALB2,s3_10,unrecorded,spliceai_walker,261,52,209,ok,0.9328303275671697,0.7553809094409392,0.8846153846153846,0.8277511961722488,5.13568376068376,0.027341705913134486,0.027341705913134486
PALB2,s3_10,unrecorded,avi,261,52,209,ok,0.9123113728376886,0.8002501316486387,0.9615384615384616,0.5119617224880383,1.970211161387632,0.05219780219780221,0.05219780219780221
PALB2,s3_10,unrecorded,avi_splice_sites,261,52,209,ok,0.923675009201325,0.7906594144119435,0.7115384615384616,0.9282296650717703,9.914102564102565,0.20096153846153844,0.20096153846153844
PALB2,s3_10,unrecorded,avi_splice_site_usage,261,52,209,ok,0.9011317629738682,0.7569831335784981,0.75,0.84688995215311,4.8984375,0.22056754221388367,0.22056754221388367
PALB2,s3_10,unrecorded,avi_splice_junctions,261,52,209,ok,0.9395012881854987,0.8486328859444667,1.0,0.33014354066985646,1.4928571428571427,0.0,0.5480769230769231
PALB2,s11_50,classified,spliceai,78,2,76,not evaluable,,,,,,,
PALB2,s11_50,classified,pangolin,78,2,76,not evaluable,,,,,,,
PALB2,s11_50,classified,alphagenome,78,2,76,not evaluable,,,,,,,
PALB2,s11_50,classified,cadd,78,2,76,not evaluable,,,,,,,
PALB2,s11_50,classified,phylop,78,2,76,not evaluable,,,,,,,
PALB2,s11_50,classified,phastcons,78,2,76,not evaluable,,,,,,,
PALB2,s11_50,classified,gpn_msa,78,2,76,not evaluable,,,,,,,
PALB2,s11_50,classified,nt,78,2,76,not evaluable,,,,,,,
PALB2,s11_50,classified,spliceai_walker,78,2,76,not evaluable,,,,,,,
PALB2,s11_50,classified,avi,78,2,76,not evaluable,,,,,,,
PALB2,s11_50,classified,avi_splice_sites,78,2,76,not evaluable,,,,,,,
PALB2,s11_50,classified,avi_splice_site_usage,78,2,76,not evaluable,,,,,,,
PALB2,s11_50,classified,avi_splice_junctions,78,2,76,not evaluable,,,,,,,
PALB2,s11_50,recorded_unclassified,spliceai,13,3,10,not evaluable,,,,,,,
PALB2,s11_50,recorded_unclassified,pangolin,13,3,10,not evaluable,,,,,,,
PALB2,s11_50,recorded_unclassified,alphagenome,13,3,10,not evaluable,,,,,,,
PALB2,s11_50,recorded_unclassified,cadd,13,3,10,not evaluable,,,,,,,
PALB2,s11_50,recorded_unclassified,phylop,13,3,10,not evaluable,,,,,,,
PALB2,s11_50,recorded_unclassified,phastcons,13,3,10,not evaluable,,,,,,,
PALB2,s11_50,recorded_unclassified,gpn_msa,13,3,10,not evaluable,,,,,,,
PALB2,s11_50,recorded_unclassified,nt,13,3,10,not evaluable,,,,,,,
PALB2,s11_50,recorded_unclassified,spliceai_walker,13,3,10,not evaluable,,,,,,,
PALB2,s11_50,recorded_unclassified,avi,13,3,10,not evaluable,,,,,,,
PALB2,s11_50,recorded_unclassified,avi_splice_sites,13,3,10,not evaluable,,,,,,,
PALB2,s11_50,recorded_unclassified,avi_splice_site_usage,13,3,10,not evaluable,,,,,,,
PALB2,s11_50,recorded_unclassified,avi_splice_junctions,13,3,10,not evaluable,,,,,,,
PALB2,s11_50,unrecorded,spliceai,373,10,363,ok,0.9432506887052342,0.5104670905614301,0.6,0.977961432506887,27.224999999999998,0.22134146341463415,0.22134146341463415
PALB2,s11_50,unrecorded,pangolin,373,10,363,ok,0.9198347107438016,0.4067524107785246,0.4,0.9586776859504132,9.68,0.3435331230283911,0.3435331230283911
PALB2,s11_50,unrecorded,alphagenome,373,10,363,ok,0.8950413223140495,0.37784230844532357,1.0,0.0,1.0,,
PALB2,s11_50,unrecorded,cadd,373,10,363,ok,0.7389807162534435,0.08861384650231571,1.0,0.008264462809917356,1.0083333333333333,,
PALB2,s11_50,unrecorded,phylop,373,10,363,ok,0.765564738292011,0.24093815695194895,0.9,0.45454545454545453,1.6500000000000001,0.2452702702702703,0.2452702702702703
PALB2,s11_50,unrecorded,phastcons,373,10,363,ok,0.6538567493112948,0.06808403217865906,0.4,0.8154269972451791,2.1671641791044776,0.7642105263157895,0.7642105263157895
PALB2,s11_50,unrecorded,gpn_msa,373,10,363,ok,0.7413223140495868,0.10606068939568136,1.0,0.024793388429752067,1.0254237288135593,,
PALB2,s11_50,unrecorded,nt,373,10,363,ok,0.6300275482093664,0.04062980347945065,0.9,0.2837465564738292,1.2565384615384616,0.41250000000000003,0.41250000000000003
PALB2,s11_50,unrecorded,spliceai_walker,373,10,363,ok,0.9495867768595041,0.5123186535686536,0.7,0.9752066115702479,28.23333333333333,0.22338461538461538,0.22338461538461538
PALB2,s11_50,unrecorded,avi,373,10,363,ok,0.8661157024793389,0.3402455175346484,0.8,0.7107438016528925,2.765714285714286,0.17368421052631577,0.17368421052631577
PALB2,s11_50,unrecorded,avi_splice_sites,373,10,363,ok,0.9022038567493113,0.35441065754365,0.2,0.9889807162534435,,0.41965317919075146,0.41965317919075146
PALB2,s11_50,unrecorded,avi_splice_site_usage,373,10,363,ok,0.9334710743801653,0.3904240029053702,0.3,0.9696969696969697,9.899999999999999,0.41724137931034483,0.41724137931034483
PALB2,s11_50,unrecorded,avi_splice_junctions,373,10,363,ok,0.9107438016528926,0.45491541533974034,1.0,0.44352617079889806,1.797029702970297,0.0,1.815
PALB2,s3_50,classified,spliceai,151,14,137,ok,0.6892596454640251,0.2969148601276909,0.21428571428571427,0.927007299270073,2.935714285714286,0.6061946902654868,0.6061946902654868
PALB2,s3_50,classified,pangolin,151,14,137,ok,0.7387904066736184,0.5063304894376857,0.5,0.927007299270073,6.8500000000000005,0.6061946902654868,0.6061946902654868
PALB2,s3_50,classified,alphagenome,151,14,137,ok,0.6313868613138686,0.5311015546000946,1.0,0.0,1.0,,
PALB2,s3_50,classified,cadd,151,14,137,ok,0.6115745568300313,0.3457882633065982,1.0,0.021897810218978103,1.0223880597014925,,
PALB2,s3_50,classified,phylop,151,14,137,ok,0.658237747653806,0.36793646563538474,0.6428571428571429,0.46715328467153283,1.206457925636008,0.8435960591133006,0.8435960591133006
