gene,label_definition,stratum,tool,n,n_pos,n_neg,walker_in_scope,status,reason,walker_frac_pp3,walker_frac_grey,walker_sens_pp3,walker_spec_pp3,walker_lr_pp3,walker_lr_bp4,walker_tier_pp3,walker_tier_bp4,walker_pp3_n_pos_band,walker_pp3_n_neg_band,walker_lr_pp3_lo,walker_lr_pp3_hi,walker_tier_pp3_at_bound,walker_bp4_n_pos_band,walker_bp4_n_neg_band,walker_lr_bp4_lo,walker_lr_bp4_hi,column_basis_comparable,e3_supporting_reachable_in_sample,e3_supporting_logo_folds,e3_supporting_threshold,e3_supporting_lr_here,e3_supporting_tier_here,e3_supporting_n_pos_band,e3_supporting_n_neg_band,e3_supporting_lr_lo,e3_supporting_lr_hi,e3_supporting_tier_at_bound,e3_moderate_reachable_in_sample,e3_moderate_logo_folds,e3_moderate_threshold,e3_moderate_lr_here,e3_moderate_tier_here,e3_moderate_n_pos_band,e3_moderate_n_neg_band,e3_moderate_lr_lo,e3_moderate_lr_hi,e3_moderate_tier_at_bound,e3_strong_reachable_in_sample,e3_strong_logo_folds,e3_strong_threshold,e3_strong_lr_here,e3_strong_tier_here,e3_strong_n_pos_band,e3_strong_n_neg_band,e3_strong_lr_lo,e3_strong_lr_hi,e3_strong_tier_at_bound,e3_moderate_note,e3_strong_note,e3_supporting_note
TP53,y_control_anchored,s3_50,avi,240,17,223,True,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,0.7155988216400146,39.352941176470594,Strong,12.0,4.0,18.036764705882355,171.2941176470588,Moderate,True,7.0,0.845728874206543,157.41176470588238,Strong,12.0,1.0,39.352941176470594,197.64705882352942,Strong,True,7.0,1.1815255880355835,,not evaluable,1.0,0.0,,,not evaluable,,,
TP53,y_control_anchored,s3_50,avi_splice_sites,240,17,223,True,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,0.2978515625,9.838235294117647,Moderate,15.0,20.0,6.5588235294117645,16.39705882352941,Moderate,True,7.0,0.439453125,26.235294117647058,Strong,14.0,7.0,13.992156862745098,72.14705882352942,Moderate,True,7.0,0.8583984375,,not evaluable,6.0,0.0,,,not evaluable,,,
TP53,y_control_anchored,s3_50,avi_splice_site_usage,240,17,223,True,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,0.3828125,36.07352941176471,Strong,11.0,4.0,15.30392156862745,157.41176470588238,Moderate,True,7.0,0.4921875,48.09803921568628,Strong,11.0,3.0,18.542731092436973,170.52941176470588,Moderate,True,7.0,0.913726806640625,118.05882352941177,Strong,9.0,1.0,30.6078431372549,171.2941176470588,Strong,,,
TP53,y_control_anchored,s3_50,avi_splice_junctions,240,17,223,True,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,3.212890625,15.741176470588238,Moderate,12.0,10.0,8.3475935828877,39.35294117647059,Moderate,True,7.0,3.955078125,20.613445378151262,Strong,11.0,7.0,10.291106442577032,65.58823529411765,Moderate,True,7.0,6.24609375,52.470588235294116,Strong,8.0,2.0,15.741176470588238,144.94117647058826,Moderate,,,
TP53,y_control_anchored,all_1_50,spliceai,288,64,224,False,ok,,0.3055555555555556,0.11458333333333333,0.96875,0.8839285714285714,8.346153846153847,0.02108433734939759,Moderate,Strong,62.0,26.0,6.027083333333334,12.764705882352942,Moderate,1.0,166.0,0.0,0.06645569620253164,True,True,7.0,0.3839756846427917,12.6875,Moderate,58.0,16.0,8.368979933110369,23.1875,Moderate,True,7.0,0.7496998906135559,27.5,Strong,55.0,7.0,15.166666666666668,72.71249999999795,Moderate,True,7.0,0.9071353077888488,175.78125,Strong,50.0,0.0,154.6875,196.875,Strong,,,
TP53,y_control_anchored,all_1_50,pangolin,288,64,224,False,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,0.4337601959705353,31.0,Strong,62.0,7.0,17.784375,103.29374999999976,Moderate,True,7.0,0.6153752207756042,67.66666666666667,Strong,58.0,3.0,29.5,213.5,Strong,True,7.0,0.8736386299133301,94.921875,Strong,27.0,0.0,66.796875,119.53125,Strong,,,
TP53,y_control_anchored,all_1_50,alphagenome,288,64,224,False,ok,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,all_1_50,cadd,288,64,224,False,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,22.7,21.875,Strong,50.0,8.0,12.725437062937065,56.0,Moderate,True,7.0,24.2,28.583333333333336,Strong,49.0,6.0,15.272727272727273,89.29374999999976,Moderate,True,7.0,35.0,35.15625,Strong,10.0,0.0,35.15625,59.765625,Strong,,,
TP53,y_control_anchored,all_1_50,phylop,288,64,224,False,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,4.72246,105.46875,Strong,30.0,0.0,77.34375,133.59375,Strong,True,7.0,4.7712,105.46875,Strong,30.0,0.0,77.34375,133.59375,Strong,True,7.0,6.43175,84.375,Strong,24.0,0.0,56.25,112.5,Strong,,,
TP53,y_control_anchored,all_1_50,phastcons,288,64,224,False,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,1.0,147.65625,Strong,42.0,0.0,119.53125,172.265625,Strong,True,7.0,1.0,147.65625,Strong,42.0,0.0,119.53125,172.265625,Strong,False,0.0,,,not evaluable,,,,,,,tier unreachable in-sample; LOGO median not carried over,
TP53,y_control_anchored,all_1_50,gpn_msa,288,64,224,False,ok,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,all_1_50,nt,288,64,224,False,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,3.371649742126465,7.368421052631579,Moderate,40.0,19.0,4.846153846153846,12.655681818181808,Moderate,True,7.0,4.94184684753418,36.75,Strong,21.0,2.0,12.6,94.5,Moderate,True,6.0,5.793684959411621,45.5,Strong,13.0,1.0,11.666666666666668,66.796875,Moderate,,,
TP53,y_control_anchored,all_1_50,spliceai_walker,288,64,224,False,ok,,0.3125,0.125,0.96875,0.875,7.75,0.021739130434782608,Moderate,Strong,62.0,28.0,5.802565789473684,11.605263157894736,Moderate,1.0,161.0,0.0,0.06907894736842105,True,True,7.0,0.4395616948604584,14.75,Moderate,59.0,14.0,9.5,27.585937499999872,Moderate,True,7.0,0.7440983057022095,27.5,Strong,55.0,7.0,15.458333333333334,85.79374999999976,Moderate,True,7.0,0.9453169107437134,175.78125,Strong,50.0,0.0,151.171875,196.875,Strong,,,
TP53,y_control_anchored,all_1_50,avi,288,64,224,False,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,0.8793784976005554,99.75,Strong,57.0,2.0,39.199999999999996,213.5,Strong,True,7.0,1.0904030799865725,172.265625,Strong,49.0,0.0,147.65625,193.359375,Strong,True,7.0,1.538756251335144,126.5625,Strong,36.0,0.0,98.4375,151.171875,Strong,,,
TP53,y_control_anchored,all_1_50,avi_splice_sites,288,64,224,False,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,0.4609375,29.5,Strong,59.0,7.0,16.153846153846153,72.33333333333334,Moderate,True,7.0,0.515625,33.833333333333336,Strong,58.0,6.0,18.136363636363637,105.0,Moderate,True,7.0,0.992828369140625,59.765625,Strong,17.0,0.0,38.671875,84.375,Strong,,,
TP53,y_control_anchored,all_1_50,avi_splice_site_usage,288,64,224,False,ok,,,,,,,,,,,,,,,,,,,True,False,1.0,,,not evaluable,,,,,,False,1.0,,,not evaluable,,,,,,False,1.0,,,not evaluable,,,,,,tier unreachable in-sample; LOGO median not carried over,tier unreachable in-sample; LOGO median not carried over,tier unreachable in-sample; LOGO median not carried over
TP53,y_control_anchored,all_1_50,avi_splice_junctions,288,64,224,False,ok,,,,,,,,,,,,,,,,,,,True,True,7.0,3.2578125,16.863636363636363,Moderate,53.0,11.0,10.294117647058824,36.417499999999905,Moderate,True,7.0,3.74609375,22.75,Strong,52.0,8.0,13.192307692307692,61.833333333333336,Moderate,True,7.0,6.23046875,61.25,Strong,35.0,2.0,23.617708333333333,144.140625,Strong,,,
TP53,y_median_split,pm12,spliceai,48,48,0,False,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
