tool,stratum,tier,side,heldout_gene,threshold_from_6_genes,heldout_lr
pangolin,pm12,moderate,pp3,BARD1,,
pangolin,pm12,moderate,pp3,PALB2,,
pangolin,pm12,moderate,pp3,RAD51C,,
pangolin,pm12,moderate,pp3,VHL,,
pangolin,pm12,moderate,pp3,BAP1,,
pangolin,pm12,strong,pp3,BRCA1,,
pangolin,pm12,strong,pp3,BRCA2,,
pangolin,pm12,strong,pp3,BARD1,,
pangolin,pm12,strong,pp3,PALB2,,
pangolin,pm12,strong,pp3,RAD51C,,
pangolin,pm12,strong,pp3,VHL,,
pangolin,pm12,strong,pp3,BAP1,,
pangolin,pm12,very_strong,pp3,BRCA1,,
pangolin,pm12,very_strong,pp3,BRCA2,,
pangolin,pm12,very_strong,pp3,BARD1,,
pangolin,pm12,very_strong,pp3,PALB2,,
pangolin,pm12,very_strong,pp3,RAD51C,,
pangolin,pm12,very_strong,pp3,VHL,,
pangolin,pm12,very_strong,pp3,BAP1,,
pangolin,s3_10,supporting,pp3,BRCA1,0.4281759262084961,24.39010989010989
pangolin,s3_10,supporting,pp3,BRCA2,0.4059005677700043,17.40740740740741
pangolin,s3_10,supporting,pp3,BARD1,0.3873639404773712,13.893939393939394
pangolin,s3_10,supporting,pp3,PALB2,0.4619028568267822,12.103448275862071
pangolin,s3_10,supporting,pp3,RAD51C,0.40685799717903137,9.920454545454547
pangolin,s3_10,supporting,pp3,VHL,0.4059005677700043,
pangolin,s3_10,supporting,pp3,BAP1,0.4237273037433624,9.652792413066384
pangolin,s3_10,moderate,pp3,BRCA1,0.584811270236969,47.50769230769232
pangolin,s3_10,moderate,pp3,BRCA2,0.5797222256660461,27.333333333333332
pangolin,s3_10,moderate,pp3,BARD1,0.516849935054779,25.650349650349654
pangolin,s3_10,moderate,pp3,PALB2,0.547325074672699,12.865203761755486
pangolin,s3_10,moderate,pp3,RAD51C,0.5411291122436523,11.780539772727273
pangolin,s3_10,moderate,pp3,VHL,0.5108555555343628,
pangolin,s3_10,moderate,pp3,BAP1,0.584811270236969,16.19178082191781
pangolin,s3_10,strong,pp3,BRCA1,0.7079978585243225,185.57692307692307
pangolin,s3_10,strong,pp3,BRCA2,0.7064163088798523,55.0
pangolin,s3_10,strong,pp3,BARD1,0.7039144039154053,64.01136363636363
pangolin,s3_10,strong,pp3,PALB2,0.7014550566673279,78.20689655172414
pangolin,s3_10,strong,pp3,RAD51C,0.7039144039154053,27.11590909090909
pangolin,s3_10,strong,pp3,VHL,0.6972330212593079,
pangolin,s3_10,strong,pp3,BAP1,0.7043490409851074,32.38356164383562
pangolin,s3_10,very_strong,pp3,BRCA1,,
pangolin,s3_10,very_strong,pp3,BRCA2,,
pangolin,s3_10,very_strong,pp3,BARD1,,
pangolin,s3_10,very_strong,pp3,PALB2,,
pangolin,s3_10,very_strong,pp3,RAD51C,,
pangolin,s3_10,very_strong,pp3,VHL,,
pangolin,s3_10,very_strong,pp3,BAP1,,
pangolin,s11_50,supporting,pp3,BRCA1,0.18852393329143524,
pangolin,s11_50,supporting,pp3,BARD1,0.1961333304643631,35.91111111111111
pangolin,s11_50,supporting,pp3,PALB2,0.19547562301158905,8.163636363636364
pangolin,s11_50,supporting,pp3,RAD51C,0.19446353614330292,11.172413793103447
pangolin,s11_50,supporting,pp3,VHL,0.19020886719226837,
pangolin,s11_50,supporting,pp3,BAP1,0.15677422285079956,5.8702351987023516
pangolin,s11_50,moderate,pp3,BRCA1,0.3433511257171631,
pangolin,s11_50,moderate,pp3,BARD1,0.3481931686401367,104.74074074074073
pangolin,s11_50,moderate,pp3,PALB2,0.3399258553981781,24.944444444444443
pangolin,s11_50,moderate,pp3,RAD51C,0.35604557394981384,28.928571428571427
pangolin,s11_50,moderate,pp3,VHL,0.43816468119621277,
pangolin,s11_50,moderate,pp3,BAP1,0.4013124406337738,20.012165450121657
pangolin,s11_50,strong,pp3,BRCA1,,
pangolin,s11_50,strong,pp3,BARD1,,
pangolin,s11_50,strong,pp3,PALB2,,
pangolin,s11_50,strong,pp3,RAD51C,,
pangolin,s11_50,strong,pp3,VHL,,
pangolin,s11_50,strong,pp3,BAP1,,
pangolin,s11_50,very_strong,pp3,BRCA1,,
pangolin,s11_50,very_strong,pp3,BARD1,,
pangolin,s11_50,very_strong,pp3,PALB2,,
pangolin,s11_50,very_strong,pp3,RAD51C,,
pangolin,s11_50,very_strong,pp3,VHL,,
pangolin,s11_50,very_strong,pp3,BAP1,,
pangolin,s3_50,supporting,pp3,BRCA1,0.3580588400363922,27.498442367601246
pangolin,s3_50,supporting,pp3,BRCA2,0.3580588400363922,14.202898550724639
pangolin,s3_50,supporting,pp3,BARD1,0.3615992069244385,40.386334610472545
pangolin,s3_50,supporting,pp3,PALB2,0.38217052817344666,19.70392156862745
pangolin,s3_50,supporting,pp3,RAD51C,0.38248518109321594,19.69208211143695
pangolin,s3_50,supporting,pp3,VHL,0.3767528235912323,31.82608695652174
pangolin,s3_50,supporting,pp3,BAP1,0.38681676983833313,14.730709179061549
pangolin,s3_50,moderate,pp3,BRCA1,0.4359506666660309,42.183177570093456
pangolin,s3_50,moderate,pp3,BRCA2,0.4071638584136963,17.40740740740741
pangolin,s3_50,moderate,pp3,BARD1,0.41063788533210754,51.92528735632184
pangolin,s3_50,moderate,pp3,PALB2,0.4304703176021576,21.977450980392156
pangolin,s3_50,moderate,pp3,RAD51C,0.4304703176021576,22.8494623655914
pangolin,s3_50,moderate,pp3,VHL,0.42059406638145447,29.17391304347826
