score_column,stratum,clinvar_arm,scope,gene,n,walker_in_scope,n_pos,n_neg,frac_pp3,frac_grey,frac_bp4,sens_pp3,spec_pp3,lr_pp3,lr_bp4,lr_minus_at_pp3,prop_grey_pos,prop_grey_neg,lr_pp3_lo,lr_bp4_lo,sens_pp3_lo,spec_pp3_lo,lr_minus_at_pp3_lo,lr_pp3_hi,lr_bp4_hi,sens_pp3_hi,spec_pp3_hi,lr_minus_at_pp3_hi,n_genes,ci_basis,status,reason,tier_pp3,tier_bp4,posterior_pp3_prior0.05,posterior_bp4_prior0.05,posterior_pp3_prior0.1,posterior_bp4_prior0.1,posterior_pp3_prior0.2,posterior_bp4_prior0.2
spliceai,all_1_50,recorded_unclassified,gene,BRCA2,100,True,26,74,0.36,0.07,0.57,0.8461538461538461,0.8108108108108107,4.472527472527473,0.15811965811965814,0.18974358974358976,0.038461538461538464,0.08108108108108103,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Moderate,Moderate,0.19054307116104868,0.008253401739906314,0.33197389885807504,0.017265515632291183,0.5278858625162127,0.0380267214799589
spliceai,all_1_50,recorded_unclassified,gene,PALB2,113,True,48,65,0.5929203539823009,0.08849557522123894,0.3185840707964602,0.9375,0.6615384615384615,2.7698863636363633,0.07965686274509803,0.09447674418604651,0.020833333333333336,0.1384615384615384,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Supporting,Moderate,0.12723476445256426,0.004174963067634402,0.2353367125271542,0.008773113780537184,0.40914813260595884,0.019525382997897266
spliceai,all_1_50,recorded_unclassified,gene,RAD51C,85,True,40,45,0.5764705882352941,0.08235294117647059,0.3411764705882353,0.925,0.7333333333333334,3.46875,0.04017857142857143,0.10227272727272721,0.049999999999999954,0.11111111111111116,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Supporting,Strong,0.15438108484005564,0.0021101992966002345,0.27819548872180455,0.004444444444444445,0.46443514644351475,0.00994475138121547
spliceai,all_1_50,recorded_unclassified,gene,VHL,17,True,6,11,,,,,,,,,,,,,,,,,,,,,,,not evaluable,fewer than 10 labelled variants on one side,,,,,,,,
spliceai,all_1_50,unrecorded,pooled,(pooled),5361,True,697,4664,0.1570602499533669,0.06454019772430516,0.7783995523223279,0.7317073170731707,0.9288164665523156,10.279165442256831,0.22885547727115146,0.2888543566876112,0.07030129124820661,0.06367924528301894,7.281122369849558,0.08184051736648097,0.6281138790035588,0.907168458781362,0.1273850890471029,15.572519083969466,0.3459466380462822,0.8800524017467246,0.9437093631295941,0.4046436872973468,6.0,"gene-clustered bootstrap, 2000 resamples of 6 genes",ok,,Moderate,Moderate,0.35107440007226237,0.01190166921487671,0.5331748136631762,0.024797817869699805,0.7198715837998025,0.05411759245525936
spliceai,all_1_50,unrecorded,gene,BAP1,1774,True,314,1460,0.16967305524239007,0.06708004509582864,0.7632468996617813,0.5923566878980892,0.9212328767123288,7.520354472445306,0.3828274959650114,0.44249757298794784,0.0796178343949045,0.06438356164383563,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Moderate,Supporting,0.2835691536573905,0.019750859158433203,0.45521750062861455,0.040800866916677565,0.6527884615384615,0.08734715119804651
spliceai,all_1_50,unrecorded,gene,BARD1,1575,True,97,1478,0.10412698412698412,0.04888888888888889,0.846984126984127,0.9278350515463918,0.9499323410013532,18.531624407913068,0.08037663437410171,0.07596851411284397,-2.7755575615628914e-17,0.05209742895805136,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Moderate,Moderate,0.49376025419261915,0.004212528710219474,0.6731031970124782,0.008851685079871356,0.8224717433779337,0.019698337084128232
spliceai,all_1_50,unrecorded,gene,BRCA2,348,True,46,302,0.22988505747126436,0.04885057471264368,0.7212643678160919,0.7391304347826086,0.847682119205298,4.852551984877127,0.2724156593902219,0.30774456521739135,0.04347826086956527,0.04966887417218546,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Moderate,Supporting,0.20343953082897448,0.014135003323129919,0.35030021834061137,0.029379146642800162,0.5481528934443733,0.06376150662950764
spliceai,all_1_50,unrecorded,gene,PALB2,676,True,104,572,0.1863905325443787,0.08875739644970414,0.7248520710059172,0.8269230769230769,0.9300699300699301,11.824999999999998,0.05670103092783505,0.18609022556390983,0.12500000000000006,0.08216783216783219,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Moderate,Moderate,0.38361719383617193,0.0029753854476602657,0.567827130852341,0.0062606715993170185,0.7472353870458136,0.013977128335451082
spliceai,all_1_50,unrecorded,gene,RAD51C,894,True,119,775,0.16890380313199105,0.0738255033557047,0.7572706935123042,0.8403361344537815,0.9341935483870968,12.76981380787609,0.09764025550250087,0.1709109057987836,0.07563025210084032,0.07354838709677425,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Moderate,Moderate,0.40194802163776966,0.005112686918184476,0.5865835105698565,0.010732481474352143,0.7614761829900959,0.023828410844847842
spliceai,all_1_50,unrecorded,gene,VHL,94,True,17,77,0.2127659574468085,0.07446808510638298,0.7127659574468085,0.8235294117647058,0.922077922077922,10.568627450980392,0.21231617647058823,0.1913835956917979,2.7755575615628914e-17,0.09090909090909083,,,,,,,,,,,,per-gene point estimate; no interval,ok,,Moderate,Moderate,0.3574270557029178,0.011051045304501747,0.5400801603206412,0.02304699191858725,0.7254374158815612,0.05040366572114336
