gene_set,stratum,clinvar_arm,tool,n,k_genes,n_pos,n_neg,auroc,auroc_lo,auroc_hi,auprc_median,status,walker_sens_pp3,walker_spec_pp3,walker_lr_pp3,walker_lr_bp4,walker_lr_bp4_for_tier,walker_tier_pp3
all_genes,s3_50,classified,avi,1409,5,119.0,997.0,0.8148047744911698,0.6532987365931999,0.9112913288438428,0.6398521418218145,ok,0.8110236220472441,0.7230889235569423,2.928823333703005,0.2268424312129523,0.2268424312129523,Supporting
all_genes,s3_50,classified,avi_splice_sites,1409,5,119.0,997.0,0.8412530454263918,0.6756153916715545,0.930955998042871,0.5893699753434578,ok,0.5984251968503937,0.9765990639625585,25.57270341207349,0.3571764986832417,0.3571764986832417,Strong
all_genes,s3_50,classified,avi_splice_site_usage,1409,5,119.0,997.0,0.8459188298427406,0.6615715039036831,0.9390939202642924,0.7874106591937475,ok,0.6141732283464567,0.985179407176287,41.44053046000829,0.3546266275539087,0.3546266275539087,Strong
all_genes,s3_50,classified,avi_splice_junctions,1409,5,119.0,997.0,0.8543683696694702,0.6940840680260848,0.9381548552287243,0.7073434130582392,ok,0.8976377952755905,0.4032761310452418,1.5042766712984406,0.17787644385861456,0.17787644385861456,below supporting
all_genes,s3_50,recorded_unclassified,spliceai,1108,6,215.0,877.0,0.8872364232391619,0.8117401116031188,0.9348856563075321,0.7524417926622975,ok,0.8227272727272728,0.8490990990990991,5.452103120759837,0.16314643440391943,0.16314643440391943,Moderate
all_genes,s3_50,recorded_unclassified,pangolin,1108,6,215.0,877.0,0.9051254993080075,0.8461210899670718,0.9430282539217594,0.7818628209130585,ok,0.85,0.8524774774774775,5.761832061068702,0.12121212121212122,0.12121212121212122,Moderate
all_genes,s3_50,recorded_unclassified,alphagenome,1108,6,215.0,877.0,0.9040960265771666,0.8434029298425371,0.9428596862497849,0.8204962533073077,ok,1.0,0.0,1.0,,,below supporting
all_genes,s3_50,recorded_unclassified,cadd,1108,6,215.0,877.0,0.7473063668887661,0.6899318529387686,0.7971852520790738,0.499625479449353,ok,1.0,0.028153153153153154,1.0289687137891077,,,below supporting
all_genes,s3_50,recorded_unclassified,phylop,1108,6,215.0,877.0,0.6912315081689078,0.6032173744004915,0.7672552208060445,0.40934120039639854,ok,0.8727272727272727,0.3975225225225225,1.4485641461342396,0.3261707988980716,0.3261707988980716,below supporting
all_genes,s3_50,recorded_unclassified,phastcons,1108,6,215.0,877.0,0.6950031165105997,0.6105637344374315,0.768088134887489,0.4108820341970759,ok,0.759090909090909,0.5867117117117117,1.8367104285360416,0.3591679506933744,0.3591679506933744,below supporting
