tool,stratum,tier,path_cut_lr,n_genes,k,n_subsets,n_subsets_fitted,n_subsets_reached,frac_subsets_reached,threshold_median,threshold_q25,threshold_q75,threshold_min,threshold_max,threshold_all_genes,n_pairs,n_pairs_evaluable,n_pairs_cleared,frac_pairs_cleared,heldout_lr_median,heldout_lr_q25,heldout_lr_q75
pangolin,s3_10,moderate,4.33,7,2,21,21,21,1.0,0.5317726135253906,0.4893896281719208,0.5479442477226257,0.4451324939727783,0.5611234307289124,0.5108555555343628,105,90,90,1.0,15.897497239602504,12.40717128844925,23.87121212121212
pangolin,s3_10,moderate,4.33,7,3,35,35,35,1.0,0.5411291122436523,0.47696587443351746,0.55118328332901,0.4231887757778168,0.5611234307289124,0.5108555555343628,140,120,120,1.0,15.061771561771561,12.865203761755486,23.454545454545457
pangolin,s3_10,moderate,4.33,7,4,35,35,35,1.0,0.55118328332901,0.5407558679580688,0.5595473051071167,0.4380401074886322,0.5960028767585754,0.5108555555343628,105,90,90,1.0,15.897497239602504,12.865203761755486,31.261363636363637
pangolin,s3_10,moderate,4.33,7,5,21,21,21,1.0,0.5528239607810974,0.547325074672699,0.584811270236969,0.45339274406433105,0.6099388599395752,0.5108555555343628,42,36,36,1.0,18.09450671094507,12.865203761755486,32.154545454545456
pangolin,s3_10,moderate,4.33,7,6,7,7,7,1.0,0.547325074672699,0.5289895236492157,0.5822667479515076,0.5108555555343628,0.584811270236969,0.5108555555343628,7,6,6,1.0,20.92106523613373,13.696848026796067,26.912587412587413
pangolin,s3_10,strong,18.7,7,2,21,21,10,0.47619047619047616,0.7543680667877197,0.6913329213857651,0.7620972990989685,0.6329391598701477,0.7779567241668701,0.6972330212593079,105,40,37,0.925,42.96934865900383,26.514041095890413,60.48667711598746
pangolin,s3_10,strong,18.7,7,3,35,35,31,0.8857142857142857,0.7307485938072205,0.7135186493396759,0.7367663979530334,0.6475542187690735,0.7766247391700745,0.6972330212593079,140,104,104,1.0,51.666666666666664,28.196030510585306,67.0344827586207
pangolin,s3_10,strong,18.7,7,4,35,35,35,1.0,0.7228805422782898,0.7176310420036316,0.7276551425457001,0.6848793029785156,0.7339980602264404,0.6972330212593079,105,90,90,1.0,56.43939393939394,29.684931506849317,67.0344827586207
pangolin,s3_10,strong,18.7,7,5,21,21,21,1.0,0.7118325233459473,0.7079978585243225,0.7170321345329285,0.7039144039154053,0.7241151332855225,0.6972330212593079,42,36,36,1.0,57.9280303030303,30.696917808219176,70.75862068965517
pangolin,s3_10,strong,18.7,7,6,7,7,7,1.0,0.7039144039154053,0.7026847302913666,0.7053826749324799,0.6972330212593079,0.7079978585243225,0.6972330212593079,7,6,6,1.0,59.50568181818181,38.03767123287672,74.65801332288402
pangolin,s11_50,moderate,4.33,6,2,15,15,13,0.8666666666666667,0.3529879152774811,0.32065072655677795,0.39549970626831055,0.19811485707759857,0.5952710509300232,0.4146675169467926,60,28,28,1.0,29.43095238095238,18.25,49.13483796296296
pangolin,s11_50,moderate,4.33,6,3,20,20,20,1.0,0.3407353609800339,0.3256869316101074,0.380254365503788,0.17895948886871338,0.45766493678092957,0.4146675169467926,60,37,37,1.0,24.014598540145986,15.750000000000002,36.45
pangolin,s11_50,moderate,4.33,6,4,15,15,15,1.0,0.34154486656188965,0.33350563049316406,0.38903263211250305,0.23318295180797577,0.4347269833087921,0.4146675169467926,30,20,20,1.0,24.944444444444443,21.0387556482447,37.022644927536234
pangolin,s11_50,moderate,4.33,6,5,6,6,6,1.0,0.3521193712949753,0.3445616364479065,0.3899957239627838,0.3399258553981781,0.43816468119621277,0.4146675169467926,6,4,4,1.0,26.936507936507937,23.711374695863746,47.88161375661375
pangolin,s11_50,strong,18.7,6,2,15,15,0,0.0,,,,,,,60,0,0,,,,
pangolin,s11_50,strong,18.7,6,3,20,20,0,0.0,,,,,,,60,0,0,,,,
pangolin,s11_50,strong,18.7,6,4,15,15,0,0.0,,,,,,,30,0,0,,,,
pangolin,s11_50,strong,18.7,6,5,6,6,0,0.0,,,,,,,6,0,0,,,,
pangolin,s3_50,moderate,4.33,7,2,21,21,21,1.0,0.4281759262084961,0.40685799717903137,0.4812736511230469,0.3758925199508667,0.5144776105880737,0.4146675169467926,105,105,105,1.0,23.15631808278867,19.166666666666664,32.657943925233646
pangolin,s3_50,moderate,4.33,7,3,35,35,35,1.0,0.4434041976928711,0.40792153775691986,0.45525631308555603,0.38819774985313416,0.4810519218444824,0.4146675169467926,140,140,140,1.0,23.577342047930284,18.03921568627451,37.20794392523365
pangolin,s3_50,moderate,4.33,7,4,35,35,35,1.0,0.4434041976928711,0.42086492478847504,0.46750974655151367,0.3907589912414551,0.47694066166877747,0.4146675169467926,105,105,105,1.0,24.33467741935484,20.444444444444443,44.48598130841122
pangolin,s3_50,moderate,4.33,7,5,21,21,21,1.0,0.4337601959705353,0.41063788533210754,0.4649892747402191,0.3960682451725006,0.47137439250946045,0.4146675169467926,42,42,42,1.0,24.485024460150278,17.40740740740741,39.059643160577735
pangolin,s3_50,moderate,4.33,7,6,7,7,7,1.0,0.4281759262084961,0.415615975856781,0.4304703176021576,0.4071638584136963,0.4359506666660309,0.4146675169467926,7,7,7,1.0,22.8494623655914,19.692429193899784,35.67854530678586
pangolin,s3_50,strong,18.7,7,2,21,21,20,0.9523809523809523,0.6550634801387787,0.6295746564865112,0.672404408454895,0.5641440749168396,0.7190394401550293,0.6798364520072937,105,90,90,1.0,54.16666666666667,35.388824884792626,162.15576323987537
pangolin,s3_50,strong,18.7,7,3,35,35,35,1.0,0.6670093536376953,0.6541984677314758,0.682755321264267,0.5786523818969727,0.6972330212593079,0.6798364520072937,140,123,123,1.0,65.80645161290323,43.575980392156865,176.89719626168224
pangolin,s3_50,strong,18.7,7,4,35,35,35,1.0,0.6745104789733887,0.6685462892055511,0.6765595078468323,0.6465228199958801,0.6888489723205566,0.6798364520072937,105,90,90,1.0,89.74146110056927,49.865017667844526,187.10280373831773
pangolin,s3_50,strong,18.7,7,5,21,21,21,1.0,0.6745104789733887,0.6720106601715088,0.6768243908882141,0.6622386574745178,0.6848793029785156,0.6798364520072937,42,36,36,1.0,90.426944971537,44.92343934040047,192.1235632183908
pangolin,s3_50,strong,18.7,7,6,7,7,7,1.0,0.6740013957023621,0.6705979108810425,0.6833245158195496,0.6670093536376953,0.6848793029785156,0.6798364520072937,7,6,6,1.0,123.05275851673198,50.14419240852616,187.86930658502524
alphagenome,s3_10,moderate,4.33,7,2,21,21,21,1.0,2.1990373730659485,2.1988511204719545,2.1991865158081056,2.197958302497864,2.199432396888733,2.1995164155960083,105,101,101,1.0,14.098522167487687,10.74715909090909,21.774358974358975
alphagenome,s3_10,moderate,4.33,7,3,35,35,35,1.0,2.1991482853889464,2.1990775227546693,2.1994872093200684,2.1988223075866697,2.1995659470558167,2.1995164155960083,140,130,130,1.0,15.01846590909091,13.512237762237763,22.344827586206897
alphagenome,s3_10,moderate,4.33,7,4,35,35,35,1.0,2.199536609649658,2.199161857366562,2.1995637357234954,2.1990225434303285,2.1996042013168333,2.1995164155960083,105,95,95,1.0,15.15625,14.053352272727274,26.666666666666668
alphagenome,s3_10,moderate,4.33,7,5,21,21,21,1.0,2.199561524391174,2.1992918252944946,2.1995659470558167,2.1991275906562806,2.1995959877967834,2.1995164155960083,42,37,37,1.0,15.698347107438016,14.638257575757576,27.333333333333332
alphagenome,s3_10,moderate,4.33,7,6,7,7,7,1.0,2.199536609649658,2.199512630701065,2.1995578765869137,2.199286437034607,2.199571061134338,2.1995164155960083,7,6,6,1.0,17.780208036477628,15.291774276859504,25.46551724137931
alphagenome,s3_10,strong,18.7,7,2,21,21,9,0.42857142857142855,2.1997950792312624,2.1997483015060424,2.199842429161072,2.1994816064834595,2.199912977218628,2.1998827695846557,105,37,25,0.6756756756756757,26.06060606060606,18.600852272727273,35.55555555555556
alphagenome,s3_10,strong,18.7,7,3,35,35,32,0.9142857142857143,2.1998652100563048,2.1998332262039186,2.199893927574158,2.199621117115021,2.199912977218628,2.1998827695846557,140,108,86,0.7962962962962963,36.1551724137931,20.64921722113503,57.16363636363637
alphagenome,s3_10,strong,18.7,7,4,35,35,34,0.9714285714285714,2.199878007173538,2.1998586773872373,2.1998919248580933,2.1997936010360717,2.199913966655731,2.1998827695846557,105,88,72,0.8181818181818182,41.666666666666664,27.777272727272727,58.45673076923076
