condition,object,target_spec,threshold,sensitivity,specificity_achieved,n,n_pos,n_neg,lr_plus,lr_minus,lr_plus_interp,sensitivity_interp,acmg_tier_observed,acmg_tier,tier_basis
y_assay/BRCA1_included,phastcons,0.99,,,,1675,821,854,,,5.200974421437267,0.05200974421437272,not evaluable,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,fusion_M1,0.9,0.5206275090313007,0.9242424242424242,0.9006968641114983,1168,594,574,9.307283359914939,0.08410995838461993,9.242424242424244,0.9242424242424242,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,fusion_M1,0.95,0.5660543017227148,0.8787878787878788,0.9512195121951219,1168,594,574,18.015151515151516,0.12742812742812742,17.57575757575756,0.8787878787878788,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,fusion_M1,0.975,0.6602365413097566,0.7912457912457912,0.975609756097561,1168,594,574,32.44107744107744,0.21397306397306404,31.649831649831626,0.7912457912457913,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_excluded,fusion_M1,0.99,0.7374109734382865,0.6363636363636364,0.9912891986062717,1168,594,574,73.05454545454546,0.36683176226234226,63.636363636363576,0.6363636363636364,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_excluded,mean_M0b,0.9,0.5304956761098657,0.9006734006734006,0.9006968641114983,1168,594,574,9.069939157658455,0.11027750099316835,9.006734006734009,0.9006734006734006,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,mean_M0b,0.95,0.6141866726049555,0.8114478114478114,0.9512195121951219,1168,594,574,16.634680134680135,0.19822153155486494,16.228956228956214,0.8114478114478114,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,mean_M0b,0.975,0.6894455024208525,0.7138047138047138,0.975609756097561,1168,594,574,29.265993265993263,0.29335016835016836,28.55218855218853,0.7138047138047139,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_excluded,mean_M0b,0.99,0.7939376199814977,0.5033670033670034,0.9912891986062717,1168,594,574,57.78653198653199,0.5009970827194026,50.33670033670029,0.5033670033670034,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_excluded,spliceai,0.9,0.520109756423625,0.8787878787878788,0.9006968641114983,1168,594,574,8.849548112706007,0.13457593341539184,8.787878787878789,0.8787878787878788,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,spliceai,0.95,0.5937386200544095,0.7828282828282829,0.9512195121951219,1168,594,574,16.0479797979798,0.22830872830872828,15.656565656565643,0.7828282828282829,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,spliceai,0.975,0.6523252575884154,0.6936026936026936,0.975609756097561,1168,594,574,28.437710437710436,0.3140572390572391,27.74410774410772,0.6936026936026936,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_excluded,spliceai,0.99,0.7206414617128902,0.5707070707070707,0.9912891986062717,1168,594,574,65.51717171717172,0.4330652748930429,57.07070707070702,0.5707070707070707,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_excluded,pangolin,0.9,0.5054055656573642,0.9090909090909091,0.9006968641114983,1168,594,574,9.154704944178627,0.1009319500615439,9.090909090909093,0.9090909090909091,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,pangolin,0.95,0.5820212925476084,0.8131313131313131,0.9512195121951219,1168,594,574,16.66919191919192,0.19645169645169644,16.26262626262625,0.8131313131313131,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,pangolin,0.975,0.624328010119377,0.7474747474747475,0.975609756097561,1168,594,574,30.646464646464647,0.2588383838383838,29.89898989898987,0.7474747474747474,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_excluded,pangolin,0.99,0.7961763765335194,0.41414141414141414,0.9912891986062717,1168,594,574,47.54343434343435,0.5910067280893292,41.414141414141376,0.41414141414141414,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_excluded,alphagenome,0.9,0.5162166969720927,0.8872053872053872,0.9006968641114983,1168,594,574,8.93431389922618,0.1252303824837674,8.872053872053874,0.8872053872053872,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,alphagenome,0.95,0.6099131683664057,0.7525252525252525,0.9512195121951219,1168,594,574,15.426767676767675,0.2601657601657602,15.050505050505036,0.7525252525252525,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,alphagenome,0.975,0.6590498917141252,0.6750841750841751,0.975609756097561,1168,594,574,27.678451178451176,0.3330387205387206,27.00336700336698,0.6750841750841751,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_excluded,alphagenome,0.99,0.8056435090333395,0.3888888888888889,0.9912891986062717,1168,594,574,44.644444444444446,0.616481156024214,38.88888888888885,0.38888888888888884,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_excluded,gpn_msa,0.9,0.5703039650408072,0.7828282828282829,0.9006968641114983,1168,594,574,7.883218146376041,0.2411152140359103,7.8282828282828305,0.7828282828282829,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,gpn_msa,0.95,0.6603651145018051,0.6515151515151515,0.9512195121951219,1168,594,574,13.356060606060606,0.3663558663558664,13.030303030303019,0.6515151515151515,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,gpn_msa,0.975,0.7394889174086254,0.5117845117845118,0.975609756097561,1168,594,574,20.983164983164983,0.5004208754208754,20.471380471380453,0.5117845117845118,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_excluded,gpn_msa,0.99,0.8163678426836322,0.3686868686868687,0.9912891986062717,1168,594,574,42.32525252525252,0.6368606983721219,36.868686868686844,0.36868686868686873,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_excluded,nt,0.9,0.6689596778882493,0.5808080808080808,0.9006968641114983,1168,594,574,5.848839269891901,0.46540843639489676,5.80808080808081,0.5808080808080809,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,nt,0.95,0.7484701145415431,0.4663299663299663,0.9512195121951219,1168,594,574,9.55976430976431,0.5610377277043944,9.32659932659932,0.46632996632996637,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,nt,0.975,0.8240050293621721,0.3367003367003367,0.975609756097561,1168,594,574,13.804713804713804,0.6798821548821549,13.468013468013456,0.3367003367003367,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_excluded,nt,0.99,0.8631639194139195,0.2760942760942761,0.9912891986062717,1168,594,574,31.6956228956229,0.7302669341333664,27.60942760942758,0.27609427609427606,Strong,Strong,interpolated to the nominal specificity
