condition,calibration,object,n,n_pos,n_neg,threshold_at_spec95,sensitivity_at_that_point,specificity_achieved,lr_plus,lr_plus_lo,lr_plus_hi,n_boot_evaluable,lr_plus_interp,sensitivity_interp,lr_plus_interp_lo,lr_plus_interp_hi,n_boot_evaluable_interp,lr_minus_at_spec95,lr_minus_at_sens95,threshold_at_sens95,acmg_tier_observed,acmg_tier,tier_basis,benign_tier_at_sens95,cal_method
y_assay/BRCA1_excluded,raw,single:alphagenome,1168,594,574,0.6099131683664057,0.7525252525252525,0.9512195121951219,15.426767676767675,14.793528997620554,19.198645598194133,2000,15.050505050505036,0.7525252525252525,14.524822695035446,17.630474022567405,2000,0.2601657601657602,0.06159026159026166,0.4273672161172161,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:alphagenome,1168,594,574,0.875,0.6784511784511784,0.9721254355400697,24.339436026936024,14.137922932330827,26.66013232050968,2000,14.027176527176515,0.7013588263588264,13.674119789558873,17.352941176470576,2000,0.33076885944269463,0.06011730205278587,0.2,Strong,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_excluded,raw,single:gpn_msa,1168,594,574,0.6603651145018051,0.6515151515151515,0.9512195121951219,13.356060606060606,12.429643527204501,16.140190016248418,2000,13.030303030303019,0.6515151515151515,12.035348928932374,15.479999999999986,2000,0.3663558663558664,0.0819402603028335,0.32718406593406596,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:gpn_msa,1168,594,574,0.8723404255319149,0.5303030303030303,0.9616724738675958,13.836088154269973,11.40733679953784,20.121510673234813,2000,11.311026936026927,0.5655513468013469,10.976562499999991,15.245999999999986,2000,0.4884167764602548,0.09079610421892303,0.14285714285714285,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_excluded,raw,single:nt,1168,594,574,0.7484701145415431,0.4663299663299663,0.9512195121951219,9.55976430976431,7.241891557316166,11.642692560895325,2000,9.32659932659932,0.46632996632996637,7.04288939051918,10.959023511418705,2000,0.5610377277043944,0.18558654982496067,0.1561173614745043,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:nt,1168,594,574,0.8275862068965517,0.38047138047138046,0.9564459930313589,8.735622895622894,7.778688524590163,18.339613537430594,2000,8.157575757575755,0.40787878787878806,7.30337078651685,10.46053097345132,2000,0.6477403052995039,0.22648358585858638,0.15702479338842976,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_excluded,raw,single:cadd,1075,554,521,0.5921895364392236,0.7743682310469314,0.9500959692898272,15.517148014440433,13.678509532062392,18.458227848101266,2000,15.487364620938616,0.7743682310469314,13.34488734835354,16.021126760563366,2000,0.23748313459504794,0.07490176032714613,0.3543000993621039,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:cadd,1075,554,521,0.6666666666666666,0.7707581227436823,0.9500959692898272,15.444806998056096,13.322958880423624,26.14864864864865,2000,15.415162454873633,0.7707581227436823,12.804652120214072,15.853658536585353,2000,0.24128286474856878,0.07018158305943203,0.17543859649122806,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_excluded,raw,single:alphamissense,1,0,1,,,,,,,0,,,,,0,,,,not evaluable,not evaluable,interpolated to the nominal specificity,not evaluable,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:alphamissense,0,0,0,,,,,,,0,,,,,0,,,,not evaluable,not evaluable,interpolated to the nominal specificity,not evaluable,isotonic
