set,calib,model,ECE,Brier,actionable_frac,actionable_acc,n_actionable
y_clinvar/BRCA1_excluded,isotonic,single:alphagenome,0.042590680097454134,0.041404644899661426,0.8910081743869209,0.9801223241590215,654
y_clinvar/BRCA1_excluded,isotonic,single:gpn_msa,0.03462992798869408,0.06755458979795288,0.7643051771117166,0.9732620320855615,561
y_clinvar/BRCA1_excluded,isotonic,single:nt,0.08095901834207005,0.1529620280167801,0.4223433242506812,0.9064516129032258,310
y_clinvar/BRCA1_excluded,isotonic,single:cadd,0.028020949206149247,0.029510390595491192,0.915680473372781,0.9903069466882067,619
y_clinvar/BRCA1_excluded,isotonic,single:alphamissense,,,,,0
y_clinvar/BRCA1_excluded,isotonic,single:gnomad_af,0.19249009171276235,0.2509493744841335,0.021367521367521368,0.4,5
y_clinvar/BRCA1_excluded,isotonic,single:phylop,0.04513824650817126,0.05205402220427524,0.8038147138964578,0.9830508474576272,590
y_clinvar/BRCA1_excluded,isotonic,single:phastcons,0.03881939225457786,0.07547238946782552,0.782016348773842,0.9547038327526133,574
y_assay/BRCA1_included,platt,fusion_M1,0.013091749962821435,0.06334845785749436,0.742089552238806,0.9702333065164923,1243
y_assay/BRCA1_included,platt,mean_M0b,0.01053092593016479,0.07593076417437306,0.6883582089552239,0.9731136166522116,1153
y_assay/BRCA1_included,platt,single:spliceai,0.03987617501066362,0.08114841742957288,0.6256716417910447,0.9580152671755725,1048
y_assay/BRCA1_included,platt,single:pangolin,0.02318743872664644,0.07188312321065675,0.6638805970149254,0.9703237410071942,1112
y_assay/BRCA1_included,platt,single:alphagenome,0.022641580540756805,0.08033524266082774,0.6304477611940299,0.96875,1056
y_assay/BRCA1_included,platt,single:gpn_msa,0.02289451657672816,0.11693797498848847,0.4716417910447761,0.9468354430379747,790
y_assay/BRCA1_included,platt,single:nt,0.04271579527097193,0.19867922805151375,0.028656716417910448,0.8125,48
y_assay/BRCA1_included,platt,single:cadd,0.04487219722254662,0.11296298761529246,0.49256625727213965,0.94750656167979,762
y_assay/BRCA1_included,platt,single:alphamissense,,,,,0
y_assay/BRCA1_included,platt,single:gnomad_af,0.018928472568796546,0.23607578881785968,0.0,,0
y_assay/BRCA1_included,platt,single:phylop,0.04596014761932675,0.12831541237686278,0.39761194029850744,0.9309309309309309,666
y_assay/BRCA1_included,platt,single:phastcons,0.02608409299485881,0.14134408763135475,0.20059701492537313,0.9166666666666666,336
y_assay/BRCA1_excluded,platt,fusion_M1,0.012240502754986074,0.06732811856352276,0.7371575342465754,0.9709639953542393,861
y_assay/BRCA1_excluded,platt,mean_M0b,0.020029028112593075,0.07870267868629091,0.6703767123287672,0.9680715197956578,783
y_assay/BRCA1_excluded,platt,single:spliceai,0.03138983282477084,0.08881607190315484,0.6181506849315068,0.961218836565097,722
y_assay/BRCA1_excluded,platt,single:pangolin,0.01920988548408993,0.07803110575174438,0.6575342465753424,0.9661458333333334,768
y_assay/BRCA1_excluded,platt,single:alphagenome,0.025235042617298496,0.08561805692748065,0.6181506849315068,0.96398891966759,722
y_assay/BRCA1_excluded,platt,single:gpn_msa,0.030372929378918414,0.11893365755418518,0.4717465753424658,0.9491833030852994,551
y_assay/BRCA1_excluded,platt,single:nt,0.05462555684434171,0.17591137118508823,0.0958904109589041,0.9196428571428571,112
y_assay/BRCA1_excluded,platt,single:cadd,0.0369989990092543,0.10564911983685547,0.5311627906976745,0.9439579684763573,571
y_assay/BRCA1_excluded,platt,single:alphamissense,,,,,0
y_assay/BRCA1_excluded,platt,single:gnomad_af,0.03720708845661931,0.2379854906090728,0.0,,0
y_assay/BRCA1_excluded,platt,single:phylop,0.0395806154225597,0.12904277096578476,0.4066780821917808,0.9326315789473684,475
y_assay/BRCA1_excluded,platt,single:phastcons,0.04772529001458704,0.14305476732219358,0.1875,0.8995433789954338,219
y_clinvar/BRCA1_included,platt,fusion_M1,0.006105609360247538,0.008944077082614145,0.9651162790697675,0.9989047097480832,913
y_clinvar/BRCA1_included,platt,mean_M0b,0.005674543356573323,0.01355196303079239,0.9418604651162791,0.9966329966329966,891
y_clinvar/BRCA1_included,platt,single:spliceai,0.020193933126215508,0.03418464861539898,0.8837209302325582,0.9808612440191388,836
y_clinvar/BRCA1_included,platt,single:pangolin,0.008979106923339353,0.020888358606269055,0.9323467230443975,0.9931972789115646,882
y_clinvar/BRCA1_included,platt,single:alphagenome,0.014355735543505551,0.033261553804830146,0.8773784355179705,0.9927710843373494,830
y_clinvar/BRCA1_included,platt,single:gpn_msa,0.030760395035143367,0.06260558256763465,0.7399577167019028,0.98,700
y_clinvar/BRCA1_included,platt,single:nt,0.07774360722570149,0.16832096977976432,0.22093023255813954,0.9282296650717703,209
y_clinvar/BRCA1_included,platt,single:cadd,0.011762778127051005,0.03234008272762153,0.8930602957906713,0.9885350318471338,785
y_clinvar/BRCA1_included,platt,single:alphamissense,,,,,0
y_clinvar/BRCA1_included,platt,single:gnomad_af,0.05717829229725693,0.24090801140445764,0.0,,0
y_clinvar/BRCA1_included,platt,single:phylop,0.034339838416595436,0.057130626567281254,0.7706131078224101,0.9766803840877915,729
y_clinvar/BRCA1_included,platt,single:phastcons,0.03037807287172025,0.07158893815355162,0.8128964059196617,0.953185955786736,769
y_clinvar/BRCA1_excluded,platt,fusion_M1,0.007962706339822356,0.01099527397011169,0.9604904632152589,0.9985815602836879,705
y_clinvar/BRCA1_excluded,platt,mean_M0b,0.006770860419555554,0.014723302977040758,0.9427792915531336,0.9942196531791907,692
y_clinvar/BRCA1_excluded,platt,single:spliceai,0.03108012785735311,0.043324441401002604,0.8637602179836512,0.9747634069400631,634
y_clinvar/BRCA1_excluded,platt,single:pangolin,0.016326407751786464,0.027679781774850594,0.9168937329700273,0.9895988112927192,673
y_clinvar/BRCA1_excluded,platt,single:alphagenome,0.02085386449996144,0.03812212376396805,0.8732970027247956,0.9859594383775351,641
y_clinvar/BRCA1_excluded,platt,single:gpn_msa,0.03197648526553059,0.06457212297682585,0.7425068119891008,0.9743119266055046,545
y_clinvar/BRCA1_excluded,platt,single:nt,0.06358290915671566,0.14834808292041105,0.33923705722070846,0.9116465863453815,249
y_clinvar/BRCA1_excluded,platt,single:cadd,0.016422357164223148,0.025639746133924373,0.9260355029585798,0.9904153354632588,626
y_clinvar/BRCA1_excluded,platt,single:alphamissense,,,,,0
y_clinvar/BRCA1_excluded,platt,single:gnomad_af,0.08672820635462862,0.24330295537621383,0.0,,0
y_clinvar/BRCA1_excluded,platt,single:phylop,0.027997501245362474,0.0538458190959339,0.7888283378746594,0.9827288428324698,579
y_clinvar/BRCA1_excluded,platt,single:phastcons,0.039049857756828614,0.07114046704252482,0.832425068119891,0.9541734860883797,611
