set,scheme,model,Brier,ECE,actionable_frac,actionable_acc
y_assay/BRCA1_excluded,vigintile,single:nt,0.17757900561475118,0.07504318290293598,0.18722243667965974,0.9300691573223563
y_assay/BRCA1_excluded,vigintile,single:cadd,0.10680266985895123,0.040232554063622646,0.6683201114155521,0.9331773033967575
y_assay/BRCA1_excluded,vigintile,single:alphamissense,,,,
y_assay/BRCA1_excluded,vigintile,single:gnomad_af,0.23626858512613128,0.07807293522378486,0.020000170566940725,0.6358089850333408
y_assay/BRCA1_excluded,vigintile,single:phylop,0.1310943212358695,0.044484734538036724,0.40775884994553546,0.9248090732525787
y_assay/BRCA1_excluded,vigintile,single:phastcons,0.15296905821974846,0.08132880122136167,0.1761803456869977,0.8188636540615459
y_assay/BRCA1_excluded,decile_truncated,fusion_M1,0.07175389019652349,0.03102738070119763,0.7468644015675618,0.9586088090920064
y_assay/BRCA1_excluded,decile_truncated,mean_M0b,0.08491795230001245,0.026246271251376366,0.7175648184329335,0.957323051480412
y_assay/BRCA1_excluded,decile_truncated,single:spliceai,0.0934255287735309,0.059939547104090794,0.6936587228278588,0.923013041544739
y_assay/BRCA1_excluded,decile_truncated,single:pangolin,0.08381275628038476,0.024223312034073515,0.7054348003125879,0.9574788482511801
y_assay/BRCA1_excluded,decile_truncated,single:alphagenome,0.09200433276239783,0.04263145994490276,0.7013753535299121,0.9583289022059782
y_assay/BRCA1_excluded,decile_truncated,single:gpn_msa,0.12385549227131067,0.05034151860842537,0.4838226128072482,0.939103076286824
y_assay/BRCA1_excluded,decile_truncated,single:nt,0.17765548748042936,0.07429607094387858,0.18662638772489648,0.9286134417385322
y_assay/BRCA1_excluded,decile_truncated,single:cadd,0.10731520903533305,0.039609382582821026,0.6677852110165681,0.9331206311699134
y_assay/BRCA1_excluded,decile_truncated,single:alphamissense,,,,
y_assay/BRCA1_excluded,decile_truncated,single:gnomad_af,0.23612631275746335,0.07923737723523705,0.019714191061387717,0.6324309505805142
y_assay/BRCA1_excluded,decile_truncated,single:phylop,0.13165721724648635,0.04387453396307907,0.40707702585270433,0.9237268502180945
y_assay/BRCA1_excluded,decile_truncated,single:phastcons,0.15379863519352105,0.08081153543333211,0.17595659573003877,0.817964156226957
y_clinvar/BRCA1_included,unweighted,fusion_M1,0.008929821360283603,0.009060755999680783,0.985153764581124,0.9956942949407965
y_clinvar/BRCA1_included,unweighted,mean_M0b,0.013981462437312724,0.009187112449638185,0.9554612937433722,0.9922308546059934
y_clinvar/BRCA1_included,unweighted,single:spliceai,0.03699717116802465,0.030201978107758237,0.8960763520678685,0.9763313609467456
y_clinvar/BRCA1_included,unweighted,single:pangolin,0.02085558341789826,0.01510637348397302,0.9575821845174973,0.9922480620155039
y_clinvar/BRCA1_included,unweighted,single:alphagenome,0.034581095180182965,0.024238070040520303,0.8939554612937434,0.9857651245551602
y_clinvar/BRCA1_included,unweighted,single:gpn_msa,0.062070469687975624,0.03079907413829142,0.7645811240721103,0.9791955617198336
y_clinvar/BRCA1_included,unweighted,single:nt,0.16538425972834184,0.08125768658952368,0.3531283138918346,0.9279279279279279
y_clinvar/BRCA1_included,unweighted,single:cadd,0.036684116147478,0.02508275094494555,0.9006849315068494,0.9873257287705957
y_clinvar/BRCA1_included,unweighted,single:alphamissense,,,,
y_clinvar/BRCA1_included,unweighted,single:gnomad_af,0.24779806290761228,0.13407664947070125,0.024305555555555556,0.5714285714285714
y_clinvar/BRCA1_included,unweighted,single:phylop,0.053667361260430826,0.02788940066090616,0.8059384941675504,0.9789473684210527
y_clinvar/BRCA1_included,unweighted,single:phastcons,0.07837145031032713,0.03186225750523974,0.8080593849416755,0.958005249343832
y_clinvar/BRCA1_included,quintile,fusion_M1,0.009421027571278032,0.00952607382051271,0.9852964166138277,0.9953592065937529
y_clinvar/BRCA1_included,quintile,mean_M0b,0.015080725710656074,0.010561754904981437,0.9535093747861502,0.9914872487084799
y_clinvar/BRCA1_included,quintile,single:spliceai,0.037423355228814764,0.03045827968588829,0.8894131394043955,0.9764041249073747
y_clinvar/BRCA1_included,quintile,single:pangolin,0.021450961831713463,0.016240466787365532,0.9574126505157412,0.9918943266202954
y_clinvar/BRCA1_included,quintile,single:alphagenome,0.03712126913701137,0.025242553679809387,0.8924099605036903,0.9837999214502073
y_clinvar/BRCA1_included,quintile,single:gpn_msa,0.06282032951421909,0.030132310805235582,0.755538474456684,0.9794584950168435
y_clinvar/BRCA1_included,quintile,single:nt,0.16729021357426166,0.08878223422513806,0.33171030765056614,0.9174030640869667
y_clinvar/BRCA1_included,quintile,single:cadd,0.03853233626753744,0.02565555879929191,0.8988847219588456,0.9868081576462374
y_clinvar/BRCA1_included,quintile,single:alphamissense,,,,
y_clinvar/BRCA1_included,quintile,single:gnomad_af,0.24372008602963652,0.13955127961161232,0.02465550095736749,0.5532291845388387
y_clinvar/BRCA1_included,quintile,single:phylop,0.05389187686065105,0.026885178088005706,0.7966642857791193,0.9792784232544075
y_clinvar/BRCA1_included,quintile,single:phastcons,0.08244765515739377,0.04137820726958701,0.8031480597585742,0.9549823902997291
y_clinvar/BRCA1_included,decile,fusion_M1,0.009111808615052445,0.009182800520567386,0.9856898867593339,0.9954921576180702
y_clinvar/BRCA1_included,decile,mean_M0b,0.014885876108075105,0.010417248682778619,0.9544486611543288,0.9916201176709588
y_clinvar/BRCA1_included,decile,single:spliceai,0.037139479375078846,0.029564846505794336,0.8898226138419254,0.9768823730959183
y_clinvar/BRCA1_included,decile,single:pangolin,0.021299017786871346,0.01618730552124216,0.9581649628887765,0.9917717029762944
y_clinvar/BRCA1_included,decile,single:alphagenome,0.037155139644721676,0.02536961677562573,0.8924476389228012,0.9839398695674615
y_clinvar/BRCA1_included,decile,single:gpn_msa,0.06288466016950645,0.030170517313528728,0.7564378572479299,0.9789791019234958
y_clinvar/BRCA1_included,decile,single:nt,0.16678202459474833,0.08848840500192824,0.33213689146613806,0.9185176463327024
y_clinvar/BRCA1_included,decile,single:cadd,0.03838415689996798,0.02555643376124979,0.899180545695197,0.9870223218896925
y_clinvar/BRCA1_included,decile,single:alphamissense,,,,
y_clinvar/BRCA1_included,decile,single:gnomad_af,0.24355373221937865,0.13896080028866487,0.024757776659432296,0.5498436862826623
y_clinvar/BRCA1_included,decile,single:phylop,0.05381317368015885,0.026955100749810175,0.7977579062671706,0.9790932714283452
y_clinvar/BRCA1_included,decile,single:phastcons,0.08244322181871137,0.041357909736332604,0.8039296520234549,0.9551912968963446
y_clinvar/BRCA1_included,vigintile,fusion_M1,0.009261764519916294,0.009359786805932744,0.9856853405129593,0.9953695501051723
y_clinvar/BRCA1_included,vigintile,mean_M0b,0.015152132544749779,0.010680671093258296,0.954813785131025,0.9912805757759192
y_clinvar/BRCA1_included,vigintile,single:spliceai,0.03725345581059091,0.02956156133285257,0.8894314560334724,0.9767550580166873
y_clinvar/BRCA1_included,vigintile,single:pangolin,0.021654551995427953,0.016710396246876893,0.9584313748631064,0.9913787102499867
y_clinvar/BRCA1_included,vigintile,single:alphagenome,0.03761389144422035,0.025809276115613598,0.8924541235729708,0.98355366157086
y_clinvar/BRCA1_included,vigintile,single:gpn_msa,0.06314762692052094,0.03012750333485879,0.7559300956438102,0.9787678804353027
y_clinvar/BRCA1_included,vigintile,single:nt,0.16660658750014937,0.08978123118793385,0.33112595720808635,0.9197711825626093
y_clinvar/BRCA1_included,vigintile,single:cadd,0.038313295174984593,0.025335050333666356,0.8997236735565154,0.986909768917077
y_clinvar/BRCA1_included,vigintile,single:alphamissense,,,,
y_clinvar/BRCA1_included,vigintile,single:gnomad_af,0.2435714498439252,0.1396640630363388,0.025414504794544223,0.5645870940133143
y_clinvar/BRCA1_included,vigintile,single:phylop,0.05393526158670365,0.027143109914417644,0.7982611785422502,0.9785223192957582
y_clinvar/BRCA1_included,vigintile,single:phastcons,0.08240359456942027,0.041644349646722714,0.8034190682724727,0.9551122326108776
y_clinvar/BRCA1_included,decile_truncated,fusion_M1,0.009111808615052445,0.009182800520567386,0.9856898867593339,0.9954921576180702
y_clinvar/BRCA1_included,decile_truncated,mean_M0b,0.014885876108075105,0.010417248682778619,0.9544486611543288,0.9916201176709588
y_clinvar/BRCA1_included,decile_truncated,single:spliceai,0.037139479375078846,0.029564846505794336,0.8898226138419254,0.9768823730959183
y_clinvar/BRCA1_included,decile_truncated,single:pangolin,0.021299017786871346,0.01618730552124216,0.9581649628887765,0.9917717029762944
y_clinvar/BRCA1_included,decile_truncated,single:alphagenome,0.037155139644721676,0.02536961677562573,0.8924476389228012,0.9839398695674615
y_clinvar/BRCA1_included,decile_truncated,single:gpn_msa,0.06288466016950645,0.030170517313528728,0.7564378572479299,0.9789791019234958
y_clinvar/BRCA1_included,decile_truncated,single:nt,0.16678202459474833,0.08848840500192824,0.33213689146613806,0.9185176463327024
y_clinvar/BRCA1_included,decile_truncated,single:cadd,0.03838415689996798,0.02555643376124979,0.899180545695197,0.9870223218896925
y_clinvar/BRCA1_included,decile_truncated,single:alphamissense,,,,
y_clinvar/BRCA1_included,decile_truncated,single:gnomad_af,0.24355373221937865,0.13896080028866487,0.024757776659432296,0.5498436862826623
y_clinvar/BRCA1_included,decile_truncated,single:phylop,0.05381317368015885,0.026955100749810175,0.7977579062671706,0.9790932714283452
y_clinvar/BRCA1_included,decile_truncated,single:phastcons,0.08244322181871137,0.041357909736332604,0.8039296520234549,0.9551912968963446
y_clinvar/BRCA1_excluded,unweighted,fusion_M1,0.009744682466913537,0.009663427634129721,0.9931787175989086,0.9917582417582418
y_clinvar/BRCA1_excluded,unweighted,mean_M0b,0.014474150276417696,0.013707301211115717,0.9508867667121419,0.9913916786226685
y_clinvar/BRCA1_excluded,unweighted,single:spliceai,0.04822661771325786,0.05403378115311498,0.8922237380627558,0.9694189602446484
y_clinvar/BRCA1_excluded,unweighted,single:pangolin,0.02738041389829157,0.02461607005661335,0.9290586630286494,0.9911894273127754
y_clinvar/BRCA1_excluded,unweighted,single:alphagenome,0.04011128676892086,0.04271924808266121,0.8908594815825375,0.9816232771822359
y_clinvar/BRCA1_excluded,unweighted,single:gpn_msa,0.06705992239613302,0.0357343432929796,0.7653478854024557,0.9732620320855615
y_clinvar/BRCA1_excluded,unweighted,single:nt,0.1507664769773491,0.07777405921684215,0.42701227830832195,0.9137380191693291
y_clinvar/BRCA1_excluded,unweighted,single:cadd,0.029554109692669698,0.028062461723491656,0.9155555555555556,0.9902912621359223
y_clinvar/BRCA1_excluded,unweighted,single:alphamissense,,,,
y_clinvar/BRCA1_excluded,unweighted,single:gnomad_af,0.2509493744841335,0.19249009171276235,0.021367521367521368,0.4
y_clinvar/BRCA1_excluded,unweighted,single:phylop,0.05099253389891548,0.043851760210326385,0.8049113233287858,0.9830508474576272
y_clinvar/BRCA1_excluded,unweighted,single:phastcons,0.07463080780040969,0.03698280246245195,0.7899045020463847,0.9516407599309153
y_clinvar/BRCA1_excluded,quintile,fusion_M1,0.010125561246023207,0.009982461122299639,0.9926934476218592,0.9916127368518688
y_clinvar/BRCA1_excluded,quintile,mean_M0b,0.01494361551753571,0.014092170476605074,0.9493606331155284,0.9907293498598755
y_clinvar/BRCA1_excluded,quintile,single:spliceai,0.04892067205477582,0.054606641159573116,0.8847817174725754,0.9694695618215871
y_clinvar/BRCA1_excluded,quintile,single:pangolin,0.028498653371467602,0.025328809693799876,0.929853388509339,0.9906190743285297
y_clinvar/BRCA1_excluded,quintile,single:alphagenome,0.04271125769352784,0.043159603046429865,0.8913227830842052,0.9792897415499792
y_clinvar/BRCA1_excluded,quintile,single:gpn_msa,0.06702244778097095,0.03864133984616178,0.752798877160628,0.9731600638766785
y_clinvar/BRCA1_excluded,quintile,single:nt,0.15055530553461038,0.08054343474301788,0.4142775128137881,0.905875060733426
y_clinvar/BRCA1_excluded,quintile,single:cadd,0.029845405231287966,0.029471050924396617,0.9136902425055675,0.9903613563453755
y_clinvar/BRCA1_excluded,quintile,single:alphamissense,,,,
y_clinvar/BRCA1_excluded,quintile,single:gnomad_af,0.2438218432634327,0.1799134345676848,0.022451072496599004,0.39846736946826516
y_clinvar/BRCA1_excluded,quintile,single:phylop,0.050861963374513354,0.0427635525563284,0.7954428625957155,0.9827010665704505
y_clinvar/BRCA1_excluded,quintile,single:phastcons,0.07822945528506692,0.03698862707645443,0.7808797406647138,0.9490609125807852
y_clinvar/BRCA1_excluded,decile,fusion_M1,0.009724450537782528,0.009556210962142105,0.9928027285021995,0.9919751831482195
y_clinvar/BRCA1_excluded,decile,mean_M0b,0.014583763637522678,0.01362688953431426,0.9506941968238771,0.9908548354594069
y_clinvar/BRCA1_excluded,decile,single:spliceai,0.04842589171884684,0.05410864364404044,0.8855630366604322,0.9701913878417586
y_clinvar/BRCA1_excluded,decile,single:pangolin,0.02829844834989565,0.0254322081990681,0.9312542750287515,0.9904417469418909
y_clinvar/BRCA1_excluded,decile,single:alphagenome,0.04272427735681209,0.043367316242356964,0.891841126248446,0.9790914515428795
y_clinvar/BRCA1_excluded,decile,single:gpn_msa,0.06698050485424148,0.03874235229664206,0.7540069759726369,0.972667391196165
y_clinvar/BRCA1_excluded,decile,single:nt,0.14989139865545287,0.08012790587611776,0.41465445187553646,0.9075241242807707
y_clinvar/BRCA1_excluded,decile,single:cadd,0.02965748762159226,0.029320795194775616,0.914105254725719,0.990524784548553
y_clinvar/BRCA1_excluded,decile,single:alphamissense,,,,
y_clinvar/BRCA1_excluded,decile,single:gnomad_af,0.24348268263998807,0.17861441135082137,0.022461748433656347,0.39417770210279135
y_clinvar/BRCA1_excluded,decile,single:phylop,0.05049999128931135,0.04231734916516862,0.7969428161321868,0.9825737048835621
y_clinvar/BRCA1_excluded,decile,single:phastcons,0.0782721513185087,0.036774492354380114,0.7825723748711485,0.9490469854001268
y_clinvar/BRCA1_excluded,vigintile,fusion_M1,0.00992858114573559,0.009743401369794048,0.9927243633679043,0.9917959255659134
y_clinvar/BRCA1_excluded,vigintile,mean_M0b,0.015070961587809496,0.01388748772362512,0.9510615172159795,0.990393075279148
y_clinvar/BRCA1_excluded,vigintile,single:spliceai,0.04850571868551477,0.05452865128715579,0.8853283081326139,0.9700573832148358
y_clinvar/BRCA1_excluded,vigintile,single:pangolin,0.028759207835005268,0.025931327523775673,0.9311442388403669,0.9900128581518135
y_clinvar/BRCA1_excluded,vigintile,single:alphagenome,0.043284193055865894,0.04382080675552075,0.8925668886626553,0.9784790599479714
