condition,calibration,object,n,n_pos,n_neg,lr_plus_obs_v1,spec_achieved_v1,lr_plus_interp_v1,tier_obs_v1,tier_interp_v1,lr_plus_obs_v2,spec_achieved_v2,lr_plus_interp_v2,tier_obs_v2,tier_interp_v2,delta_obs,delta_interp_score_change,delta_placement,placement_within_v1,placement_within_v2,threshold_v1,threshold_v2,tie_chosen_all_v1,tie_chosen_neg_v1,tie_chosen_pos_v1,spec_chosen_v1,tie_below_all_v1,tie_below_neg_v1,tie_below_pos_v1,spec_below_v1,tie_chosen_all_v2,tie_chosen_neg_v2,tie_chosen_pos_v2,spec_chosen_v2,tie_below_all_v2,tie_below_neg_v2,tie_below_pos_v2,spec_below_v2
y_assay/BRCA1_excluded,calibrated_isotonic,single:alphagenome,1168,594,574,24.339436026936024,0.9721254355400697,14.027176527176515,Strong,Moderate,24.339436026936024,0.9721254355400697,14.027176527176515,Strong,Moderate,0.0,0.0,0.0,10.31225949975951,10.31225949975951,0.875,0.875,14.0,1.0,13.0,0.9721254355400697,29.0,14.0,15.0,0.9477351916376306,14.0,1.0,13.0,0.9721254355400697,29.0,14.0,15.0,0.9477351916376306
y_assay/BRCA1_excluded,raw,single:gpn_msa,1168,594,574,13.356060606060606,0.9512195121951219,13.030303030303019,Moderate,Moderate,13.356060606060606,0.9512195121951219,13.030303030303019,Moderate,Moderate,0.0,0.0,0.0,0.3257575757575868,0.3257575757575868,0.6603651145018051,0.6603651145018051,1.0,0.0,1.0,0.9512195121951219,2.0,2.0,0.0,0.9477351916376306,1.0,0.0,1.0,0.9512195121951219,2.0,2.0,0.0,0.9477351916376306
y_assay/BRCA1_excluded,calibrated_isotonic,single:gpn_msa,1168,594,574,13.836088154269973,0.9616724738675958,11.311026936026927,Moderate,Moderate,13.836088154269973,0.9616724738675958,11.311026936026927,Moderate,Moderate,0.0,0.0,0.0,2.525061218243046,2.525061218243046,0.8723404255319149,0.8723404255319149,18.0,5.0,13.0,0.9616724738675958,33.0,8.0,25.0,0.9477351916376306,18.0,5.0,13.0,0.9616724738675958,33.0,8.0,25.0,0.9477351916376306
y_assay/BRCA1_excluded,raw,single:nt,1168,594,574,9.55976430976431,0.9512195121951219,9.32659932659932,Moderate,Moderate,9.55976430976431,0.9512195121951219,9.32659932659932,Moderate,Moderate,0.0,0.0,0.0,0.2331649831649898,0.2331649831649898,0.7484701145415431,0.7484701145415431,1.0,0.0,1.0,0.9512195121951219,1.0,1.0,0.0,0.9494773519163763,1.0,0.0,1.0,0.9512195121951219,1.0,1.0,0.0,0.9494773519163763
y_assay/BRCA1_excluded,calibrated_isotonic,single:nt,1168,594,574,8.386363636363637,0.9512195121951219,8.228956228956221,Moderate,Moderate,8.735622895622894,0.9564459930313589,8.157575757575755,Moderate,Moderate,0.3492592592592576,-0.07138047138046666,0.42063973063972426,0.15740740740741543,0.5780471380471397,0.8229166666666666,0.8275862068965517,28.0,6.0,22.0,0.9512195121951219,6.0,2.0,4.0,0.9477351916376306,6.0,2.0,4.0,0.9564459930313589,27.0,5.0,22.0,0.9477351916376306
y_assay/BRCA1_excluded,raw,single:cadd,1075,554,521,15.517148014440433,0.9500959692898272,15.487364620938616,Moderate,Moderate,15.517148014440433,0.9500959692898272,15.487364620938616,Moderate,Moderate,0.0,0.0,0.0,0.029783393501817912,0.029783393501817912,0.5921895364392236,0.5921895364392236,2.0,0.0,2.0,0.9500959692898272,1.0,1.0,0.0,0.9481765834932822,2.0,0.0,2.0,0.9500959692898272,1.0,1.0,0.0,0.9481765834932822
y_assay/BRCA1_excluded,calibrated_isotonic,single:cadd,1075,554,521,15.444806998056096,0.9500959692898272,15.415162454873633,Moderate,Moderate,15.444806998056096,0.9500959692898272,15.415162454873633,Moderate,Moderate,0.0,0.0,0.0,0.02964454318246368,0.02964454318246368,0.6666666666666666,0.6666666666666666,3.0,0.0,3.0,0.9500959692898272,4.0,4.0,0.0,0.9424184261036468,3.0,0.0,3.0,0.9500959692898272,4.0,4.0,0.0,0.9424184261036468
y_assay/BRCA1_excluded,raw,single:alphamissense,1,0,1,,,,not evaluable,not evaluable,,,,not evaluable,not evaluable,,,,,,,,,,,,,,,,,,,,,,,
y_assay/BRCA1_excluded,calibrated_isotonic,single:alphamissense,0,0,0,,,,not evaluable,not evaluable,,,,not evaluable,not evaluable,,,,,,,,,,,,,,,,,,,,,,,
y_assay/BRCA1_excluded,raw,single:gnomad_af,407,162,245,1.5123456790123457,0.9510204081632653,1.5123456790123453,below supporting,below supporting,1.5123456790123457,0.9510204081632653,1.5123456790123453,below supporting,below supporting,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,0.9600220567962504,0.9600220567962504,7.0,4.0,3.0,0.9510204081632653,2.0,1.0,1.0,0.9469387755102041,7.0,4.0,3.0,0.9510204081632653,2.0,1.0,1.0,0.9469387755102041
