tool,stratum,arm,auroc,auroc_lo,auroc_hi,prauc,n_pos,n_neg,k_genes,max_tier_in_sample,max_tier_logo
spliceai_walker,s3_10,unrecorded,0.8857993406564453,0.8202426756402729,0.9295026313822928,0.72940937160389,269.0,1303.0,5,strong,strong
spliceai_walker,s11_50,all,0.8534172709532623,0.7440516778108336,0.9210123793355458,0.511937194466309,222.0,3970.0,5,moderate,moderate
spliceai_walker,s11_50,unrecorded,0.8551210147377122,0.7173420654249131,0.9320980350158702,0.5377510417170063,165.0,3267.0,4,moderate,moderate
spliceai_walker,s3_50,all,0.9106053542496046,0.8511663063279042,0.9477633074662404,0.7285724649442509,795.0,6817.0,7,strong,strong
spliceai_walker,s3_50,classified,0.8480328479968766,0.7134624806914145,0.9259616482687948,0.660609454882188,119.0,997.0,5,strong,strong
spliceai_walker,s3_50,recorded_unclassified,0.8888687186398938,0.8270967882559224,0.9304281556900968,0.7693933861995369,215.0,877.0,6,strong,strong
spliceai_walker,s3_50,unrecorded,0.8975070896692471,0.8180405014711384,0.9446180564387764,0.6955005809494663,448.0,4647.0,6,strong,strong
avi,s3_10,all,0.9172086017179129,0.8748328806915575,0.9461214468189296,0.833432943797712,570.0,2505.0,7,strong,strong
avi,s3_10,classified,0.8960017855249857,0.7784454784166139,0.9548044145152064,0.8393193013882669,93.0,457.0,5,strong,strong
avi,s3_10,recorded_unclassified,0.9047899505373398,0.84522854346262,0.9429764591521512,0.8655179208634604,196.0,585.0,6,strong,strong
avi,s3_10,unrecorded,0.8867876544041425,0.8089230235747894,0.9354539667834416,0.7829726999723086,269.0,1303.0,5,strong,strong
avi,s11_50,all,0.8008097772906302,0.7377569938153828,0.8517487901069802,0.4211162175733045,222.0,3970.0,5,strong,moderate
avi,s11_50,unrecorded,0.7937381601041409,0.7484538781296048,0.8326925273623937,0.4312501742071261,165.0,3267.0,4,strong,moderate
avi,s3_50,all,0.9103985830436294,0.8608353076497293,0.943469173930688,0.7299285962887461,795.0,6817.0,7,strong,strong
avi,s3_50,classified,0.8148047744911698,0.6532987365931999,0.9112913288438428,0.6398521418218145,119.0,997.0,5,strong,strong
avi,s3_50,recorded_unclassified,0.8995366029350602,0.832502183780643,0.9416243218645745,0.8465411578685837,215.0,877.0,6,strong,strong
avi,s3_50,unrecorded,0.8828723169882772,0.819139959084134,0.9261705299704204,0.7027867711982652,448.0,4647.0,6,strong,strong
avi_splice_sites,s3_10,all,0.9046469733742554,0.8590625878612441,0.936576190723702,0.7740005324339135,570.0,2505.0,7,moderate,moderate
avi_splice_sites,s3_10,classified,0.8791256726957573,0.7389197825357126,0.949212926675166,0.7424242424242424,93.0,457.0,5,moderate,moderate
avi_splice_sites,s3_10,recorded_unclassified,0.8957427947442677,0.8402304629899379,0.9334939056115426,0.8388904386341659,196.0,585.0,6,moderate,moderate
avi_splice_sites,s3_10,unrecorded,0.8781380009571611,0.798834538626577,0.9289587036669412,0.66643881669574,269.0,1303.0,5,moderate,moderate
avi_splice_sites,s11_50,all,0.7930295121589209,0.728350435261931,0.8455737846381854,0.3370553750064548,222.0,3970.0,5,moderate,moderate
avi_splice_sites,s11_50,unrecorded,0.8156049132767502,0.7305376510247189,0.8782911786807995,0.3799375585324245,165.0,3267.0,4,moderate,moderate
avi_splice_sites,s3_50,all,0.8952449643771407,0.8375813256624235,0.9340482420847718,0.6634451736434165,795.0,6817.0,7,strong,strong
avi_splice_sites,s3_50,classified,0.8412530454263918,0.6756153916715545,0.930955998042871,0.5893699753434578,119.0,997.0,5,strong,strong
avi_splice_sites,s3_50,recorded_unclassified,0.8855844702337903,0.8233213690562824,0.92782891529482,0.7795045279241715,215.0,877.0,6,strong,strong
avi_splice_sites,s3_50,unrecorded,0.8685856645447304,0.790053675161204,0.9206910139987684,0.5664792700677947,448.0,4647.0,6,strong,strong
avi_splice_site_usage,s3_10,all,0.9223739442449768,0.8717485019432497,0.9540686332981984,0.8263620651504145,570.0,2505.0,7,strong,strong
avi_splice_site_usage,s3_10,classified,0.8760933828583649,0.7450469770475211,0.9447744762511776,0.8455028026281599,93.0,457.0,5,strong,strong
avi_splice_site_usage,s3_10,recorded_unclassified,0.915661771582059,0.8530138667394941,0.9530769251690596,0.8697843753236705,196.0,585.0,6,strong,strong
avi_splice_site_usage,s3_10,unrecorded,0.8884720754203006,0.8198708367485958,0.933079420383101,0.7465381238981201,269.0,1303.0,5,strong,strong
avi_splice_site_usage,s11_50,all,0.8474989629180015,0.7533836399901621,0.9099886037445354,0.5551505209580243,222.0,3970.0,5,strong,moderate
avi_splice_site_usage,s11_50,unrecorded,0.8509069497900241,0.7486405577974652,0.9162220825637912,0.4914891923270932,165.0,3267.0,4,strong,moderate
avi_splice_site_usage,s3_50,all,0.9187487839208632,0.8603740361530728,0.9540224433147176,0.7580119846169113,795.0,6817.0,7,strong,strong
avi_splice_site_usage,s3_50,classified,0.8459188298427406,0.6615715039036831,0.9390939202642924,0.7874106591937475,119.0,997.0,5,strong,strong
avi_splice_site_usage,s3_50,recorded_unclassified,0.9075144987038428,0.8394187342554532,0.9485051677580428,0.8320495603593334,215.0,877.0,6,strong,strong
avi_splice_site_usage,s3_50,unrecorded,0.8991518236344328,0.8290788813362787,0.9424895570344152,0.7014599337012368,448.0,4647.0,6,strong,strong
avi_splice_junctions,s3_10,all,0.9138365321003322,0.8674570966046647,0.9450155616162608,0.8174503997666934,570.0,2505.0,7,strong,strong
avi_splice_junctions,s3_10,classified,0.8886221202552371,0.7835841226427968,0.9461811454616438,0.8278055278055279,93.0,457.0,5,strong,strong
avi_splice_junctions,s3_10,recorded_unclassified,0.9017841718544172,0.8420992064103866,0.9405027665505756,0.8421032183090548,196.0,585.0,6,strong,strong
avi_splice_junctions,s3_10,unrecorded,0.8934802813439392,0.8147759664007567,0.9411572270170906,0.7842442730908744,269.0,1303.0,5,strong,strong
avi_splice_junctions,s11_50,all,0.8326122365498816,0.7357028606995802,0.8988723660834723,0.5269338433695523,222.0,3970.0,5,moderate,none
avi_splice_junctions,s11_50,unrecorded,0.8378508299573506,0.7131430273918865,0.9148190496839492,0.5164819352888514,165.0,3267.0,4,moderate,none
avi_splice_junctions,s3_50,all,0.9126423990682146,0.8505586158714188,0.950437083432824,0.7612051166994397,795.0,6817.0,7,strong,strong
avi_splice_junctions,s3_50,classified,0.8543683696694702,0.6940840680260848,0.9381548552287244,0.7073434130582392,119.0,997.0,5,strong,strong
avi_splice_junctions,s3_50,recorded_unclassified,0.9001778495475112,0.8382144302151371,0.9401052149090476,0.8446844132783902,215.0,877.0,6,strong,strong
avi_splice_junctions,s3_50,unrecorded,0.8935358418749882,0.8100796045665304,0.9429039033818232,0.7279726839112334,448.0,4647.0,6,strong,strong
fusion_enet,s3_10,all,0.9095535024593576,0.8776157887886665,0.9337854909966166,0.7253150806514127,570.0,2505.0,7,none,none
fusion_enet,s3_10,classified,0.9130177784366196,0.8248106656484843,0.9590195621489428,0.8240595611285266,93.0,457.0,5,none,none
fusion_enet,s3_10,recorded_unclassified,0.8889649907504498,0.824516532619427,0.9317045270021436,0.769884497026155,196.0,585.0,6,none,none
fusion_enet,s3_10,unrecorded,0.8837207904991301,0.8360895274160064,0.9188540907537855,0.676690512983684,269.0,1303.0,5,none,none
fusion_enet,s11_50,all,0.8240648394146884,0.7645722601770422,0.871059011157395,0.4062141505818571,222.0,3970.0,5,none,none
fusion_enet,s11_50,unrecorded,0.8428043007570246,0.7627620151911285,0.8994025901757698,0.3951872034967681,165.0,3267.0,4,none,none
fusion_enet,s3_50,all,0.9123371994435736,0.8689444035391036,0.9423163089038212,0.6811699087435951,795.0,6817.0,7,none,none
fusion_enet,s3_50,classified,0.8434875907039889,0.7100470792407929,0.9222420609623956,0.6180145191191877,119.0,997.0,5,none,none
fusion_enet,s3_50,recorded_unclassified,0.8806975067513967,0.8095774105885374,0.9276297474055794,0.760374082943025,215.0,877.0,6,none,none
fusion_enet,s3_50,unrecorded,0.892437466293516,0.8365784118409946,0.9307830956141772,0.615754606351605,448.0,4647.0,6,none,none
