Tool,"Stratum (intronic offset, bp)",Tier,Tier LR cut,Reached in-sample,In-sample threshold (gene-clustered bootstrap),In-sample threshold (variant-level bootstrap),Held-out genes,Folds with a fitted threshold,Folds with an evaluable held-out LR,Held-out genes clearing the cut,"Held-out LR, median","Held-out LR, minimum","Held-out LR, maximum",Held-out LR per fold
NT-v2-500M,3–50,Supporting,2.08,No,,3.80712,7,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; BRCA2=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
NT-v2-500M,3–50,Moderate,4.33,No,,,7,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; BRCA2=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
NT-v2-500M,3–50,Strong,18.7,No,,,7,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; BRCA2=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
"SpliceAI (±4,999 nt, Walker basis)",3–10,Supporting,2.08,Yes,0.4195,0.393777,7,7,7,7,14.5,8.62,30.4,BAP1=8.62; BARD1=9.59; BRCA1=30.4; BRCA2=17.9; PALB2=14.5; RAD51C=10.8; VHL=18.0
"SpliceAI (±4,999 nt, Walker basis)",3–10,Moderate,4.33,Yes,0.5386,0.5281,7,7,6,6,14.0,9.45,38.5,BAP1=9.45; BARD1=13.1; BRCA1=38.5; BRCA2=28.1; PALB2=14.9; RAD51C=11.8; VHL=n.e.
"SpliceAI (±4,999 nt, Walker basis)",3–10,Strong,18.7,Yes,0.95946,0.85897,7,7,6,4,51.9,14.2,89.3,BAP1=14.2; BARD1=89.3; BRCA1=70.5; BRCA2=33.3; PALB2=14.2; RAD51C=72.8; VHL=n.e.
"SpliceAI (±4,999 nt, Walker basis)",11–50,Supporting,2.08,Yes,0.24022,0.24022,6,6,4,4,19.2,6.30,34.7,BAP1=6.30; BARD1=34.7; BRCA1=n.e.; PALB2=19.2; RAD51C=19.1; VHL=n.e.
"SpliceAI (±4,999 nt, Walker basis)",11–50,Moderate,4.33,Yes,0.2920,0.3111,6,6,4,4,25.1,6.15,52.0,BAP1=6.15; BARD1=52.0; BRCA1=n.e.; PALB2=29.9; RAD51C=20.3; VHL=n.e.
"SpliceAI (±4,999 nt, Walker basis)",11–50,Strong,18.7,No,,,6,1,1,0,9.61,9.61,9.61,BAP1=9.61; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
"SpliceAI (±4,999 nt, Walker basis)",3–50,Supporting,2.08,Yes,0.3158,0.30246,7,7,7,7,15.9,7.70,29.7,BAP1=7.70; BARD1=23.5; BRCA1=29.7; BRCA2=10.9; PALB2=17.8; RAD51C=14.6; VHL=15.9
"SpliceAI (±4,999 nt, Walker basis)",3–50,Moderate,4.33,Yes,0.4263,0.40249878,7,7,7,7,25.9,9.15,48.1,BAP1=9.15; BARD1=33.7; BRCA1=48.1; BRCA2=17.9; PALB2=25.9; RAD51C=26.4; VHL=24.8
