Genes,"Stratum (intronic offset, bp)",ClinVar record status,Tool,Fitted threshold tier,Fitted threshold,Genes contributing,Damaging,Normal,Variants in band,Sensitivity,Specificity,Band LR at fitted threshold,Band LR at published cut point (≥ 0.2),AUROC (95% CI),Genes pooled for AUROC
BRCA1 excluded,"1–50 incl. ±1,2, out of scope","Recorded, not classified",AlphaGenome,,,,,,,,,,,0.915 (0.854–0.952),5
BRCA1 excluded,"1–50 incl. ±1,2, out of scope","Recorded, not classified",CADD,,,,,,,,,,,0.796 (0.749–0.837),5
BRCA1 excluded,"1–50 incl. ±1,2, out of scope","Recorded, not classified",phyloP-100way,,,,,,,,,,,0.738 (0.679–0.789),5
BRCA1 excluded,"1–50 incl. ±1,2, out of scope","Recorded, not classified",phastCons-100way,,,,,,,,,,,0.708 (0.656–0.755),5
BRCA1 excluded,"1–50 incl. ±1,2, out of scope","Recorded, not classified",GPN-MSA,,,,,,,,,,,0.793 (0.738–0.839),5
BRCA1 excluded,"1–50 incl. ±1,2, out of scope","Recorded, not classified",NT-v2-500M,,,,,,,,,,,0.736 (0.689–0.779),5
BRCA1 excluded,"1–50 incl. ±1,2, out of scope","Recorded, not classified","SpliceAI (±4,999 nt, Walker basis)",,,,,,,,,,,0.903 (0.837–0.944),5
BRCA1 excluded,"1–50 incl. ±1,2, out of scope","Recorded, not classified",AlphaGenome Atlas AVI,,,,,,,,,,,0.913 (0.844–0.953),5
BRCA1 excluded,"1–50 incl. ±1,2, out of scope","Recorded, not classified",AlphaGenome Atlas splice sites,,,,,,,,,,,0.898 (0.842–0.936),5
BRCA1 excluded,"1–50 incl. ±1,2, out of scope","Recorded, not classified",AlphaGenome Atlas splice site usage,,,,,,,,,,,0.917 (0.851–0.956),5
BRCA1 excluded,"1–50 incl. ±1,2, out of scope","Recorded, not classified",AlphaGenome Atlas splice junctions,,,,,,,,,,,0.911 (0.850–0.948),5
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Not in ClinVar,SpliceAI (±50 nt),,,,,,,,,,,0.928 (0.868–0.962),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Not in ClinVar,Pangolin,,,,,,,,,,,0.934 (0.890–0.960),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Not in ClinVar,AlphaGenome,,,,,,,,,,,0.929 (0.876–0.961),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Not in ClinVar,CADD,,,,,,,,,,,0.838 (0.792–0.875),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Not in ClinVar,phyloP-100way,,,,,,,,,,,0.823 (0.800–0.844),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Not in ClinVar,phastCons-100way,,,,,,,,,,,0.806 (0.783–0.827),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Not in ClinVar,GPN-MSA,,,,,,,,,,,0.843 (0.821–0.863),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Not in ClinVar,NT-v2-500M,,,,,,,,,,,0.735 (0.687–0.779),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Not in ClinVar,"SpliceAI (±4,999 nt, Walker basis)",,,,,,,,,,,0.934 (0.876–0.966),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Not in ClinVar,AlphaGenome Atlas AVI,,,,,,,,,,,0.925 (0.880–0.955),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Not in ClinVar,AlphaGenome Atlas splice sites,,,,,,,,,,,0.915 (0.856–0.951),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Not in ClinVar,AlphaGenome Atlas splice site usage,,,,,,,,,,,0.935 (0.883–0.964),6
BRCA1 excluded,"1–50 incl. ±1,2, out of scope",Not in ClinVar,AlphaGenome Atlas splice junctions,,,,,,,,,,,0.930 (0.870–0.963),6
