Genes,"Stratum (intronic offset, bp)",ClinVar record status,Tool,Fitted threshold tier,Fitted threshold,Genes contributing,Damaging,Normal,Variants in band,Sensitivity,Specificity,Band LR at fitted threshold,Band LR at published cut point (≥ 0.2),AUROC (95% CI),Genes pooled for AUROC
All genes,11–50,All variants,CADD,Supporting (Moderate not reached),22.60,6,225,4312,26,0.044,0.996,12.0,,,
All genes,11–50,All variants,phyloP-100way,none reached in-sample,,,,,,,,,,,
All genes,11–50,All variants,phastCons-100way,none reached in-sample,,,,,,,,,,,
All genes,11–50,All variants,GPN-MSA,Supporting (Moderate not reached),6.630,6,225,4312,195,0.191,0.965,5.42,,,
All genes,11–50,All variants,NT-v2-500M,none reached in-sample,,,,,,,,,,,
All genes,11–50,All variants,"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.2920,6,225,4312,190,0.373,0.975,15.2,10.3,,
All genes,11–50,All variants,AlphaGenome Atlas AVI,Moderate,0.69857,6,225,4312,121,0.284,0.987,21.5,,,
All genes,11–50,All variants,AlphaGenome Atlas splice sites,Moderate,0.4608755,6,225,4312,96,0.227,0.990,21.7,,,
All genes,11–50,All variants,AlphaGenome Atlas splice site usage,Moderate,0.2539,6,225,4312,134,0.329,0.986,23.6,,,
All genes,11–50,All variants,AlphaGenome Atlas splice junctions,Moderate,4.441,6,225,4312,57,0.169,0.996,38.3,,,
All genes,11–50,Classified (P/LP or B/LB),SpliceAI (±50 nt),Moderate,0.290056,6,32,704,13,0.156,0.989,13.8,8.25,not evaluable,1
All genes,11–50,Classified (P/LP or B/LB),Pangolin,Moderate,0.4146675,6,32,704,4,0.125,1.000,not evaluable,,not evaluable,1
All genes,11–50,Classified (P/LP or B/LB),AlphaGenome,Moderate,2.198968,6,32,704,6,0.125,0.997,not evaluable,,not evaluable,1
All genes,11–50,Classified (P/LP or B/LB),CADD,Supporting (Moderate not reached),22.60,6,32,704,4,0.000,0.994,not evaluable,,not evaluable,1
All genes,11–50,Classified (P/LP or B/LB),phyloP-100way,none reached in-sample,,,,,,,,,,not evaluable,1
All genes,11–50,Classified (P/LP or B/LB),phastCons-100way,none reached in-sample,,,,,,,,,,not evaluable,1
All genes,11–50,Classified (P/LP or B/LB),GPN-MSA,Supporting (Moderate not reached),6.630,6,32,704,17,0.063,0.979,2.93,,not evaluable,1
All genes,11–50,Classified (P/LP or B/LB),NT-v2-500M,none reached in-sample,,,,,,,,,,not evaluable,1
All genes,11–50,Classified (P/LP or B/LB),"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.2920,6,32,704,14,0.156,0.987,12.2,7.33,not evaluable,1
All genes,11–50,Classified (P/LP or B/LB),AlphaGenome Atlas AVI,Moderate,0.69857,6,32,704,10,0.125,0.991,14.7,,not evaluable,1
All genes,11–50,Classified (P/LP or B/LB),AlphaGenome Atlas splice sites,Moderate,0.4608755,6,32,704,5,0.094,0.997,not evaluable,,not evaluable,1
All genes,11–50,Classified (P/LP or B/LB),AlphaGenome Atlas splice site usage,Moderate,0.2539,6,32,704,11,0.156,0.991,18.3,,not evaluable,1
All genes,11–50,Classified (P/LP or B/LB),AlphaGenome Atlas splice junctions,Moderate,4.441,6,32,704,5,0.125,0.999,not evaluable,,not evaluable,1
All genes,11–50,"Recorded, not classified",SpliceAI (±50 nt),Moderate,0.290056,5,19,292,29,0.684,0.945,12.5,9.35,not evaluable,0
All genes,11–50,"Recorded, not classified",Pangolin,Moderate,0.4146675,5,19,292,19,0.579,0.973,21.1,,not evaluable,0
All genes,11–50,"Recorded, not classified",AlphaGenome,Moderate,2.198968,5,19,292,20,0.632,0.973,23.1,,not evaluable,0
All genes,11–50,"Recorded, not classified",CADD,Supporting (Moderate not reached),22.60,5,19,292,3,0.053,0.993,not evaluable,,not evaluable,0
All genes,11–50,"Recorded, not classified",phyloP-100way,none reached in-sample,,,,,,,,,,not evaluable,0
All genes,11–50,"Recorded, not classified",phastCons-100way,none reached in-sample,,,,,,,,,,not evaluable,0
All genes,11–50,"Recorded, not classified",GPN-MSA,Supporting (Moderate not reached),6.630,5,19,292,11,0.053,0.966,1.54,,not evaluable,0
All genes,11–50,"Recorded, not classified",NT-v2-500M,none reached in-sample,,,,,,,,,,not evaluable,0
All genes,11–50,"Recorded, not classified","SpliceAI (±4,999 nt, Walker basis)",Moderate,0.2920,5,19,292,30,0.737,0.945,13.4,8.54,not evaluable,0
All genes,11–50,"Recorded, not classified",AlphaGenome Atlas AVI,Moderate,0.69857,5,19,292,22,0.526,0.959,12.8,,not evaluable,0
All genes,11–50,"Recorded, not classified",AlphaGenome Atlas splice sites,Moderate,0.4608755,5,19,292,17,0.474,0.973,17.3,,not evaluable,0
All genes,11–50,"Recorded, not classified",AlphaGenome Atlas splice site usage,Moderate,0.2539,5,19,292,22,0.632,0.966,18.4,,not evaluable,0
All genes,11–50,"Recorded, not classified",AlphaGenome Atlas splice junctions,Moderate,4.441,5,19,292,14,0.316,0.973,11.5,,not evaluable,0
All genes,11–50,Not in ClinVar,SpliceAI (±50 nt),Moderate,0.290056,5,174,3316,130,0.339,0.979,15.8,11.8,0.866 (0.718–0.942),4
All genes,11–50,Not in ClinVar,Pangolin,Moderate,0.4146675,5,174,3316,64,0.253,0.994,41.9,,0.845 (0.770–0.899),4
All genes,11–50,Not in ClinVar,AlphaGenome,Moderate,2.198968,5,174,3316,91,0.310,0.989,27.8,,0.845 (0.755–0.906),4
All genes,11–50,Not in ClinVar,CADD,Supporting (Moderate not reached),22.60,5,174,3316,19,0.052,0.997,17.2,,0.628 (0.471–0.763),4
All genes,11–50,Not in ClinVar,phyloP-100way,none reached in-sample,,,,,,,,,,0.667 (0.557–0.762),4
All genes,11–50,Not in ClinVar,phastCons-100way,none reached in-sample,,,,,,,,,,0.585 (0.455–0.704),4
All genes,11–50,Not in ClinVar,GPN-MSA,Supporting (Moderate not reached),6.630,5,174,3316,167,0.230,0.962,6.00,,0.663 (0.509–0.789),4
All genes,11–50,Not in ClinVar,NT-v2-500M,none reached in-sample,,,,,,,,,,0.717 (0.615–0.800),4
All genes,11–50,Not in ClinVar,"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.2920,5,174,3316,146,0.374,0.976,15.3,10.7,0.855 (0.717–0.932),4
All genes,11–50,Not in ClinVar,AlphaGenome Atlas AVI,Moderate,0.69857,5,174,3316,89,0.287,0.988,24.4,,0.794 (0.748–0.833),4
All genes,11–50,Not in ClinVar,AlphaGenome Atlas splice sites,Moderate,0.4608755,5,174,3316,74,0.224,0.989,21.2,,0.816 (0.731–0.878),4
All genes,11–50,Not in ClinVar,AlphaGenome Atlas splice site usage,Moderate,0.2539,5,174,3316,101,0.328,0.987,24.7,,0.851 (0.749–0.916),4
All genes,11–50,Not in ClinVar,AlphaGenome Atlas splice junctions,Moderate,4.441,5,174,3316,38,0.161,0.997,53.4,,0.838 (0.713–0.915),4
All genes,3–50,All variants,SpliceAI (±50 nt),Moderate,0.38189,7,795,6817,621,0.538,0.972,19.0,9.05,,
All genes,3–50,All variants,Pangolin,Moderate,0.4146675,7,795,6817,599,0.564,0.978,25.4,,,
All genes,3–50,All variants,AlphaGenome,Moderate,2.19935889,7,795,6817,543,0.535,0.983,30.9,,,
All genes,3–50,All variants,CADD,Moderate,22.60,7,795,6817,160,0.109,0.989,10.2,,,
All genes,3–50,All variants,phyloP-100way,Moderate,5.5818,7,795,6817,53,0.042,0.997,14.1,,,
All genes,3–50,All variants,phastCons-100way,Supporting (Moderate not reached),0.9921,7,795,6817,987,0.426,0.905,4.49,,,
All genes,3–50,All variants,GPN-MSA,Moderate,8.240,7,795,6817,249,0.184,0.985,12.2,,,
All genes,3–50,All variants,NT-v2-500M,none reached in-sample,,,,,,,,,,,
All genes,3–50,All variants,"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.4263,7,795,6817,615,0.550,0.974,21.1,8.28,,
All genes,3–50,All variants,AlphaGenome Atlas AVI,Moderate,0.8246,7,795,6817,591,0.553,0.978,25.0,,,
All genes,3–50,All variants,AlphaGenome Atlas splice sites,Moderate,0.4295,7,795,6817,501,0.482,0.983,27.8,,,
All genes,3–50,All variants,AlphaGenome Atlas splice site usage,Moderate,0.484375,7,795,6817,547,0.541,0.983,31.5,,,
All genes,3–50,All variants,AlphaGenome Atlas splice junctions,Moderate,3.857,7,795,6817,528,0.493,0.980,24.7,,,
All genes,3–50,Classified (P/LP or B/LB),SpliceAI (±50 nt),Moderate,0.38189,7,127,1282,79,0.535,0.991,62.4,18.4,0.843 (0.703–0.924),5
All genes,3–50,Classified (P/LP or B/LB),Pangolin,Moderate,0.4146675,7,127,1282,82,0.598,0.995,128,,0.852 (0.719–0.928),5
All genes,3–50,Classified (P/LP or B/LB),AlphaGenome,Moderate,2.19935889,7,127,1282,80,0.575,0.995,105,,0.831 (0.667–0.923),5
All genes,3–50,Classified (P/LP or B/LB),CADD,Moderate,22.60,7,127,1282,15,0.079,0.996,20.2,,0.746 (0.555–0.873),5
All genes,3–50,Classified (P/LP or B/LB),phyloP-100way,Moderate,5.5818,7,127,1282,8,0.055,0.999,not evaluable,,0.793 (0.643–0.890),5
All genes,3–50,Classified (P/LP or B/LB),phastCons-100way,Supporting (Moderate not reached),0.9921,7,127,1282,144,0.512,0.938,8.31,,0.792 (0.595–0.908),5
All genes,3–50,Classified (P/LP or B/LB),GPN-MSA,Moderate,8.240,7,127,1282,31,0.220,0.998,94.2,,0.814 (0.668–0.905),5
All genes,3–50,Classified (P/LP or B/LB),NT-v2-500M,none reached in-sample,,,,,,,,,,0.625 (0.499–0.736),5
All genes,3–50,Classified (P/LP or B/LB),"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.4263,7,127,1282,82,0.567,0.992,72.7,16.4,0.848 (0.713–0.926),5
All genes,3–50,Classified (P/LP or B/LB),AlphaGenome Atlas AVI,Moderate,0.8246,7,127,1282,76,0.575,0.998,246,,0.815 (0.653–0.911),5
All genes,3–50,Classified (P/LP or B/LB),AlphaGenome Atlas splice sites,Moderate,0.4295,7,127,1282,77,0.543,0.994,87.1,,0.841 (0.676–0.931),5
All genes,3–50,Classified (P/LP or B/LB),AlphaGenome Atlas splice site usage,Moderate,0.484375,7,127,1282,77,0.583,0.998,249,,0.846 (0.662–0.939),5
All genes,3–50,Classified (P/LP or B/LB),AlphaGenome Atlas splice junctions,Moderate,3.857,7,127,1282,78,0.551,0.994,88.3,,0.854 (0.694–0.938),5
All genes,3–50,"Recorded, not classified",SpliceAI (±50 nt),Moderate,0.38189,7,220,888,210,0.714,0.940,12.0,5.45,0.887 (0.812–0.935),6
All genes,3–50,"Recorded, not classified",Pangolin,Moderate,0.4146675,7,220,888,211,0.732,0.944,13.0,,0.905 (0.846–0.943),6
All genes,3–50,"Recorded, not classified",AlphaGenome,Moderate,2.19935889,7,220,888,190,0.695,0.958,16.7,,0.904 (0.843–0.943),6
All genes,3–50,"Recorded, not classified",CADD,Moderate,22.60,7,220,888,51,0.132,0.975,5.32,,0.747 (0.690–0.797),6
All genes,3–50,"Recorded, not classified",phyloP-100way,Moderate,5.5818,7,220,888,16,0.036,0.991,4.04,,0.691 (0.603–0.767),6
All genes,3–50,"Recorded, not classified",phastCons-100way,Supporting (Moderate not reached),0.9921,7,220,888,255,0.527,0.843,3.37,,0.695 (0.611–0.768),6
All genes,3–50,"Recorded, not classified",GPN-MSA,Moderate,8.240,7,220,888,59,0.155,0.972,5.49,,0.763 (0.685–0.826),6
All genes,3–50,"Recorded, not classified",NT-v2-500M,none reached in-sample,,,,,,,,,,0.682 (0.602–0.753),6
All genes,3–50,"Recorded, not classified","SpliceAI (±4,999 nt, Walker basis)",Moderate,0.4263,7,220,888,204,0.709,0.946,13.1,5.01,0.889 (0.827–0.930),6
All genes,3–50,"Recorded, not classified",AlphaGenome Atlas AVI,Moderate,0.8246,7,220,888,206,0.709,0.944,12.6,,0.900 (0.833–0.942),6
All genes,3–50,"Recorded, not classified",AlphaGenome Atlas splice sites,Moderate,0.4295,7,220,888,167,0.632,0.968,20.0,,0.886 (0.823–0.928),6
All genes,3–50,"Recorded, not classified",AlphaGenome Atlas splice site usage,Moderate,0.484375,7,220,888,188,0.705,0.963,19.0,,0.908 (0.839–0.949),6
All genes,3–50,"Recorded, not classified",AlphaGenome Atlas splice junctions,Moderate,3.857,7,220,888,188,0.645,0.948,12.5,,0.900 (0.838–0.940),6
All genes,3–50,Not in ClinVar,SpliceAI (±50 nt),Moderate,0.38189,6,448,4647,332,0.453,0.972,16.3,8.63,0.889 (0.807–0.939),6
All genes,3–50,Not in ClinVar,Pangolin,Moderate,0.4146675,6,448,4647,306,0.471,0.980,23.0,,0.898 (0.839–0.936),6
All genes,3–50,Not in ClinVar,AlphaGenome,Moderate,2.19935889,6,448,4647,273,0.444,0.984,27.9,,0.891 (0.818–0.937),6
