Tool,"Stratum (intronic offset, bp)",Tier,Training genes,Subsets,Subsets reaching the tier,"Threshold, median","Threshold, interquartile range",Threshold on all genes in the stratum,Held-out pairs evaluable,Held-out pairs clearing the cut,"Held-out LR, median","Held-out LR, interquartile range"
"SpliceAI (±4,999 nt, Walker basis)",3–10,Moderate,3,35,35 (100%),0.50425,0.4742 to 0.6329,0.5386,123 of 140,123 (100%),15.2,11.1 to 23.9
"SpliceAI (±4,999 nt, Walker basis)",3–10,Moderate,4,35,35 (100%),0.57835,0.4750 to 0.6340,0.5386,91 of 105,91 (100%),14.9,11.4 to 25.2
"SpliceAI (±4,999 nt, Walker basis)",3–10,Moderate,5,21,21 (100%),0.58118,0.4862 to 0.5833978,0.5386,37 of 42,37 (100%),14.9,11.1 to 28.1
"SpliceAI (±4,999 nt, Walker basis)",3–10,Moderate,6,7,7 (100%),0.5537,0.5417 to 0.5566,0.5386,6 of 7,6 (100%),14.0,12.1 to 24.8
"SpliceAI (±4,999 nt, Walker basis)",3–10,Strong,2,21,6 (29%),0.7657,0.7234 to 0.8436,0.95946,25 of 105,13 (52%),26.5,14.6 to 36.7
"SpliceAI (±4,999 nt, Walker basis)",3–10,Strong,3,35,17 (49%),0.85119,0.8201 to 0.89518,0.95946,56 of 140,35 (62%),27.4,14.6 to 46.5
"SpliceAI (±4,999 nt, Walker basis)",3–10,Strong,4,35,20 (57%),0.9037,0.8424 to 0.9143,0.95946,45 of 105,27 (60%),25.1,14.2 to 46.7
"SpliceAI (±4,999 nt, Walker basis)",3–10,Strong,5,21,20 (95%),0.9039,0.8653 to 0.9121,0.95946,32 of 42,21 (66%),29.4,14.2 to 65.7
"SpliceAI (±4,999 nt, Walker basis)",3–10,Strong,6,7,7 (100%),0.8948,0.8768 to 0.89876,0.95946,6 of 7,4 (67%),51.9,19.0 to 72.2
"SpliceAI (±4,999 nt, Walker basis)",11–50,Moderate,2,15,14 (93%),0.4453,0.3858 to 0.4928,0.2920,34 of 60,34 (100%),30.2,12.2 to 76.6
"SpliceAI (±4,999 nt, Walker basis)",11–50,Moderate,3,20,20 (100%),0.3497,0.3137 to 0.3911,0.2920,40 of 60,40 (100%),25.9,16.9 to 52.5
"SpliceAI (±4,999 nt, Walker basis)",11–50,Moderate,4,15,15 (100%),0.32288,0.31471 to 0.3419,0.2920,20 of 30,20 (100%),25.2,16.8 to 34.4
"SpliceAI (±4,999 nt, Walker basis)",11–50,Moderate,5,6,6 (100%),0.3131,0.2958 to 0.3151,0.2920,4 of 6,4 (100%),25.1,16.7 to 35.5
