Gene,Label definition,"Stratum (intronic offset, bp)",Tool,Damaging,Normal,Evaluated,Same variable as the fitted column,Why not comparable,LR at published cut point (≥ 0.2),Tier at published cut point,Supporting: threshold (median of leave-one-gene-out fits),Supporting: LR in this gene,Supporting: tier reached,Moderate: threshold (median of leave-one-gene-out fits),Moderate: LR in this gene,Moderate: tier reached,Strong: threshold (median of leave-one-gene-out fits),Strong: LR in this gene,Strong: tier reached,Note
DDX3X,FDR,3–50,phyloP-100way,67,1598,Yes,Yes,,,,4.085,6.81,Moderate,5.250,11.9,Moderate,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,FDR,3–50,phastCons-100way,67,1598,Yes,Yes,,,,1.000,4.90,Moderate,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,FDR,3–50,GPN-MSA,67,1598,Yes,Yes,,,,6.880,5.71,Moderate,8.310,8.99,Moderate,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,FDR,3–50,"SpliceAI (±4,999 nt, Walker basis)",67,1598,Yes,Yes,,5.28,Moderate,0.33358,9.39,Moderate,0.42775,11.7,Moderate,0.8931,35.0,Strong,
DDX3X,FDR,3–50,AlphaGenome Atlas AVI,67,1598,Yes,Yes,,,,0.7155988,12.4,Moderate,0.8457,16.3,Moderate,1.1815,21.8,Strong,
DDX3X,FDR,3–50,AlphaGenome Atlas splice sites,67,1598,Yes,Yes,,,,0.29785,10.8,Moderate,0.43945,14.4,Moderate,0.858398,22.7,Strong,
DDX3X,FDR,3–50,AlphaGenome Atlas splice site usage,67,1598,Yes,Yes,,,,0.3828,17.9,Moderate,0.4921875,20.6,Strong,0.9137,26.8,Strong,
DDX3X,FDR,3–50,AlphaGenome Atlas splice junctions,67,1598,Yes,Yes,,,,3.21289,6.56,Moderate,3.955,8.73,Moderate,6.246,15.7,Moderate,
TP53,Control-anchored,3–10,SpliceAI (±50 nt),15,129,Yes,Yes,,5.59,Moderate,0.3977,6.45,Moderate,0.56397,6.69,Moderate,0.8993,not evaluable,not evaluable,
TP53,Control-anchored,3–10,Pangolin,15,129,Yes,Yes,,,,0.406857997,28.0,Strong,0.5473,51.6,Strong,0.7039,not evaluable,not evaluable,
TP53,Control-anchored,3–10,AlphaGenome,15,129,Yes,No,"declared definition mismatch: the TP53 column was scored with AlphaGenome client v0.6.1 as a maximum absolute raw score, while the analysis-set column the thresholds are fitted on is the client v0.7.0 merged-quantile score, bounded at 2.2. They are different variables, so a threshold fitted on one does not apply to the other.",,,,,,,,,,,,
TP53,Control-anchored,3–10,CADD,15,129,Yes,Yes,,,,19.53,8.60,Moderate,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Control-anchored,3–10,phyloP-100way,15,129,Yes,Yes,,,,4.58587,not evaluable,not evaluable,5.34067,not evaluable,not evaluable,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Control-anchored,3–10,phastCons-100way,15,129,Yes,Yes,,,,1.000,not evaluable,not evaluable,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Control-anchored,3–10,GPN-MSA,15,129,Yes,No,anti-correlated on this gene: different orientation convention,,,,,,,,,,,,
TP53,Control-anchored,3–10,NT-v2-500M,15,129,Yes,Yes,,,,3.636,7.53,Moderate,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Control-anchored,3–10,"SpliceAI (±4,999 nt, Walker basis)",15,129,Yes,Yes,,5.32,Moderate,0.4259,8.60,Moderate,0.5537,9.56,Moderate,0.8948,not evaluable,not evaluable,
TP53,Control-anchored,3–50,SpliceAI (±50 nt),15,129,Yes,Yes,,5.59,Moderate,0.33358,5.53,Moderate,0.3791576,6.45,Moderate,0.8836,not evaluable,not evaluable,
TP53,Control-anchored,3–50,Pangolin,15,129,Yes,Yes,,,,0.37675,22.4,Strong,0.4281759,37.3,Strong,0.6740,38.7,Strong,
TP53,Control-anchored,3–50,AlphaGenome,15,129,Yes,No,"declared definition mismatch: the TP53 column was scored with AlphaGenome client v0.6.1 as a maximum absolute raw score, while the analysis-set column the thresholds are fitted on is the client v0.7.0 merged-quantile score, bounded at 2.2. They are different variables, so a threshold fitted on one does not apply to the other.",,,,,,,,,,,,
TP53,Control-anchored,3–50,CADD,15,129,Yes,Yes,,,,19.19,8.60,Moderate,22.60,not evaluable,not evaluable,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Control-anchored,3–50,phyloP-100way,15,129,Yes,Yes,,,,4.085,not evaluable,not evaluable,5.250,not evaluable,not evaluable,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Control-anchored,3–50,phastCons-100way,15,129,Yes,Yes,,,,1.000,not evaluable,not evaluable,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Control-anchored,3–50,GPN-MSA,15,129,Yes,No,anti-correlated on this gene: different orientation convention,,,,,,,,,,,,
TP53,Control-anchored,3–50,NT-v2-500M,15,129,Yes,Yes,,,,,,not evaluable,,,not evaluable,,,not evaluable,Supporting: tier unreachable in-sample; LOGO median not carried over; Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Control-anchored,3–50,"SpliceAI (±4,999 nt, Walker basis)",15,129,Yes,Yes,,5.32,Moderate,0.33358,6.76,Moderate,0.42775,9.46,Moderate,0.8931,not evaluable,not evaluable,
TP53,Median split,3–10,SpliceAI (±50 nt),48,96,Yes,Yes,,3.08,Supporting,0.3977,2.67,Supporting,0.56397,2.57,Supporting,0.8993,not evaluable,not evaluable,
TP53,Median split,3–10,Pangolin,48,96,Yes,Yes,,,,0.406857997,34.4,Strong,0.5473,28.3,Strong,0.7039,not evaluable,not evaluable,
TP53,Median split,3–10,AlphaGenome,48,96,Yes,No,"declared definition mismatch: the TP53 column was scored with AlphaGenome client v0.6.1 as a maximum absolute raw score, while the analysis-set column the thresholds are fitted on is the client v0.7.0 merged-quantile score, bounded at 2.2. They are different variables, so a threshold fitted on one does not apply to the other.",,,,,,,,,,,,
TP53,Median split,3–10,CADD,48,96,Yes,Yes,,,,19.53,7.33,Moderate,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Median split,3–10,phyloP-100way,48,96,Yes,Yes,,,,4.58587,not evaluable,not evaluable,5.34067,not evaluable,not evaluable,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Median split,3–10,phastCons-100way,48,96,Yes,Yes,,,,1.000,not evaluable,not evaluable,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
TP53,Median split,3–10,GPN-MSA,48,96,Yes,No,anti-correlated on this gene: different orientation convention,,,,,,,,,,,,
