n_training_genes,held_out_gene,training_genes,n_test,brier
4,PALB2,BRCA2+RAD51C+VHL+BAP1,215,0.06569971479589387
4,PALB2,BRCA2+BARD1+VHL+BAP1,215,0.06835601423248173
4,PALB2,BRCA1+RAD51C+BARD1+VHL,215,0.07266242108595877
4,PALB2,BRCA1+RAD51C+BARD1+BAP1,215,0.0763294586878053
4,PALB2,BRCA1+RAD51C+VHL+BAP1,215,0.07336418697017906
4,PALB2,BRCA1+BARD1+VHL+BAP1,215,0.08072656111731871
4,PALB2,RAD51C+BARD1+VHL+BAP1,215,0.07471008560059214
4,BRCA1,BRCA2+PALB2+RAD51C+BARD1,507,0.056177108852928856
4,BRCA1,BRCA2+PALB2+RAD51C+VHL,507,0.062246056659814135
4,BRCA1,BRCA2+PALB2+RAD51C+BAP1,507,0.05537879619961964
4,BRCA1,BRCA2+PALB2+BARD1+VHL,507,0.05528469066979433
4,BRCA1,BRCA2+PALB2+BARD1+BAP1,507,0.0524945595518831
4,BRCA1,BRCA2+PALB2+VHL+BAP1,507,0.05436130858068872
4,BRCA1,BRCA2+RAD51C+BARD1+VHL,507,0.05768482790884204
4,BRCA1,BRCA2+RAD51C+BARD1+BAP1,507,0.05447412765020629
4,BRCA1,BRCA2+RAD51C+VHL+BAP1,507,0.05652622862135032
4,BRCA1,BRCA2+BARD1+VHL+BAP1,507,0.05325121391324486
4,BRCA1,PALB2+RAD51C+BARD1+VHL,507,0.0562124137024879
4,BRCA1,PALB2+RAD51C+BARD1+BAP1,507,0.0556669116019508
4,BRCA1,PALB2+RAD51C+VHL+BAP1,507,0.055312111954133804
4,BRCA1,PALB2+BARD1+VHL+BAP1,507,0.05333746146096776
4,BRCA1,RAD51C+BARD1+VHL+BAP1,507,0.05548798209548559
4,RAD51C,BRCA2+PALB2+BRCA1+BARD1,168,0.05504416762654037
4,RAD51C,BRCA2+PALB2+BRCA1+VHL,168,0.04984016108205542
4,RAD51C,BRCA2+PALB2+BRCA1+BAP1,168,0.05473552298504809
4,RAD51C,BRCA2+PALB2+BARD1+VHL,168,0.052459238076891124
4,RAD51C,BRCA2+PALB2+BARD1+BAP1,168,0.053682125194096104
4,RAD51C,BRCA2+PALB2+VHL+BAP1,168,0.05087913284020812
4,RAD51C,BRCA2+BRCA1+BARD1+VHL,168,0.05376654256586797
4,RAD51C,BRCA2+BRCA1+BARD1+BAP1,168,0.05551018230102901
4,RAD51C,BRCA2+BRCA1+VHL+BAP1,168,0.05402258453489671
4,RAD51C,BRCA2+BARD1+VHL+BAP1,168,0.05568696928019712
4,RAD51C,PALB2+BRCA1+BARD1+VHL,168,0.05514551884352023
4,RAD51C,PALB2+BRCA1+BARD1+BAP1,168,0.05487519066589538
4,RAD51C,PALB2+BRCA1+VHL+BAP1,168,0.055797579979251534
4,RAD51C,PALB2+BARD1+VHL+BAP1,168,0.05725225656330008
4,RAD51C,BRCA1+BARD1+VHL+BAP1,168,0.057355613266757366
4,BARD1,BRCA2+PALB2+BRCA1+RAD51C,197,0.056490098866911545
4,BARD1,BRCA2+PALB2+BRCA1+VHL,197,0.05790274920186045
4,BARD1,BRCA2+PALB2+BRCA1+BAP1,197,0.05354706354992635
4,BARD1,BRCA2+PALB2+RAD51C+VHL,197,0.06303095057267692
4,BARD1,BRCA2+PALB2+RAD51C+BAP1,197,0.05503138231838648
4,BARD1,BRCA2+PALB2+VHL+BAP1,197,0.053162961280782135
4,BARD1,BRCA2+BRCA1+RAD51C+VHL,197,0.05753516943964056
4,BARD1,BRCA2+BRCA1+RAD51C+BAP1,197,0.05144353530866315
4,BARD1,BRCA2+BRCA1+VHL+BAP1,197,0.053569649654293616
4,BARD1,BRCA2+RAD51C+VHL+BAP1,197,0.05364062975831689
4,BARD1,PALB2+BRCA1+RAD51C+VHL,197,0.05917462695001034
4,BARD1,PALB2+BRCA1+RAD51C+BAP1,197,0.05320643081824297
4,BARD1,PALB2+BRCA1+VHL+BAP1,197,0.05329458831451436
4,BARD1,PALB2+RAD51C+VHL+BAP1,197,0.051725842301726055
4,BARD1,BRCA1+RAD51C+VHL+BAP1,197,0.0541134998253316
4,VHL,BRCA2+PALB2+BRCA1+RAD51C,53,0.015279750630946396
4,VHL,BRCA2+PALB2+BRCA1+BARD1,53,0.016235654345420843
4,VHL,BRCA2+PALB2+BRCA1+BAP1,53,0.014555263222825868
4,VHL,BRCA2+PALB2+RAD51C+BARD1,53,0.017340311832407477
4,VHL,BRCA2+PALB2+RAD51C+BAP1,53,0.015206695138060186
4,VHL,BRCA2+PALB2+BARD1+BAP1,53,0.016668473138682176
4,VHL,BRCA2+BRCA1+RAD51C+BARD1,53,0.016603703407792075
4,VHL,BRCA2+BRCA1+RAD51C+BAP1,53,0.01764549942340762
4,VHL,BRCA2+BRCA1+BARD1+BAP1,53,0.016674404768356774
4,VHL,BRCA2+RAD51C+BARD1+BAP1,53,0.017832458033240146
